date,id,fullBody,firstSentence,title
1982-10-17 00:00:00,40454,"Katherine K. Neuberger, a member of the New Jersey Board of Higher Education and a former member of the Republican National Committee, died Friday at Riverview Hospital. She was 75 years old.

 Mrs. Neuberger, a resident of Middletown Township, collapsed Wednesday during a luncheon. She was a major political power in New Jersey until she lost her position as a national committeewoman in 1976.

 Governor Kean, who had recently appointed Mrs. Neuberger to her third six-year term on the Board of Higher Education, said in a statement that her death ''is a very deep personal loss to me and to the State of New Jersey.''

 Her husband was the late Harry H. Neuberger. Mrs. Neuberger is survived by two daughters, Susan N. Wilson of Princeton and Joan Woodhouse of Grosse Point, Mich.; a brother, William J. Kridel of New York City, and six grandchildren.","Katherine K. Neuberger, a member of the New Jersey Board of Higher Education and a former member of the Republican National Committee, died Friday at Riverview Hospital.","October 17, 1982, Sunday, Late City Final Edition  Katherine K. Neuberger, 75; Ex-G.O.P. Committeewoman"
1982-07-21 00:00:00,19287,"James R. Brown Jr., president and chief operating officer of Dresser Industries Inc. of Dallas, died of a heart attack Monday at Medical City Hospital in Dallas. He was 58 years old.

 Mr. Brown, an engineer and metallurgist who lived in Dallas, had worked 12 years for Dresser, a multinational corporation that manufactures high-technology products and provides services for energy, natural resources and industrial markets. He was executive vice president before his appointment as president in 1981.

 Besides his wife, Candis, he is survived by his mother, two sons, four daughters and five grandchildren.","James R. Brown Jr., president and chief operating officer of Dresser Industries Inc. of Dallas, died of a heart attack Monday at Medical City Hospital in Dallas.","July 21, 1982, Wednesday, Late City Final Edition  JAMES R. BROWN Jr."
1982-03-21 00:00:00,56946,"Louis Kissinger, the father of former Secretary of State Henry Kissinger, died Friday at his home in Washington Heights at the age of 95 years. He was a teacher of geography and history in Furth, Germany, before fleeing with his family to the United States in 1938 as anti-Semitism increased under Hitler. He worked as a bookkeeper when he arrived in New York. Surviving are his wife, Paula, and his sons, Henry and Walter, a businessman in New York. A funeral service will be held at 2 P.M. today at Louis Hirsch & Sons, 1225 Jerome Avenue, the Bronx.","Louis Kissinger, the father of former Secretary of State Henry Kissinger, died Friday at his home in Washington Heights at the age of 95 years.","March 21, 1982, Sunday, Late City Final Edition  Father of Kissinger Is Dead"
1982-04-07 00:00:00,57031,"Dr. Harold W. Stoke, an educator who served as the president of the University of New Hampshire, Louisiana State University and Queens College in New York, died last Tuesday in Seattle. He was 79 years old.

 Dr. Stoke, an administrator who was known for remaining calm in moments of tension, served as president of Louisiana State from 1947 to 1951, when the university admitted its first black student. He headed Queens College from 1958 to 1964, when members of the Communist Party were banned from giving speeches there.

 In his 25-year career, Dr. Stoke spent time at numerous colleges and universities and encountered a wide variety of experiences. Shortly after arriving at L.S.U. in 1947, for example, he waged a personal war against an atmosphere that he characterized as too ''candy and cake.'' Among other things, he instituted a policy that restricted student phone calls to the evening.

 Served on Government Panels

 Dr. Stoke also served on a number of government panels, among them the Personnel and Education Commission of the National Science Foundation and the Tennessee Valley Authority. He was a historian and political scientist by training, and was the author of ''The American College President,'' published in 1959 by Harper & Row.

 Dr. Stoke was born in Bosworth, Mo., on May 11, 1903. He was a graduate of Marion College in Indiana and received his doctorate from Johns Hopkins University in 1930. He served on the faculty of Berea College in Kentucky from 1926 to 1928. He then went to the University of Nebraska, where he was appointed dean of the graduate school in 1938.

 In 1940, Dr. Stoke moved to the University of Wisconsin, where he became associate dean of the graduate school until 1944, when he became president of the University of New Hampshire. After leaving Louisiana State in 1951, Dr. Stoke was named dean of the Graduate School at the University of Washington and then in 1955 became dean of the Graduate School of Arts and Sciences at New York University. In 1958, he became the third president of Queens College.

 He is survived by his wife, Persis Warren of Seattle; a daughter, Marcia Simpson of Madison, Wis., and four grandchildren.","Dr. Harold W. Stoke, an educator who served as the president of the University of New Hampshire, Louisiana State University and Queens College in New York, died last Tuesday in Seattle.","April 7, 1982, Wednesday, Late City Final Edition  HAROLD W. STOKE, COLLEGE PRESIDENT"
1982-01-18 00:00:00,56669,"Stanley H. Lawrence, a makeup expert who in 1960 was called in to work on Vice President Nixon after his first televised debate with John F. Kennedy, died Tuesday in Mount Sinai Hospital in Miami Beach. Mr. Lawrence, who lived in Miami Beach, was 59 years old.

 Mr. Lawrence, who learned his craft in the early days of television, was at the time a director of in-store promotion for Revlon Inc., with which he was associated for 20 years until 1975.

 He also had worked for the Columbia Broadcasting System and was president from 1960 to 1972 of the Motion Picture and Television Make-up Artists.

 Mr. Lawrence was born in the Bronx and was a graduate of James Monroe High School. He served with the 104th Infantry Division in Europe in World War II, receiving the Bronze Star and Purple Heart.

 He is survived by his wife, Mickey; a son, Jeffrey of Silver Spring, Md.; a daughter, Susan Barry of Miami Beach; three sisters, Bunny Cass of Massapequa, L.I.; Rita Solomon of Sunrise, Fla. and Phylllis B londe of Pepper Pike, Ohio, and thr ee grandchildren.","Stanley H. Lawrence, a makeup expert who in 1960 was called in to work on Vice President Nixon after his first televised debate with John F. Kennedy, died Tuesday in Mount Sinai Hospital in Miami Beach.","January 18, 1982, Monday, Late City Final Edition  Stanley H. Lawrence, Expert In Makeup Art, Dies in Florida"
1983-03-03 00:00:00,27249,"John D. Erwin, the United States Ambassador to Honduras under Presidents Roosevelt and Truman and a Washington correspondent for New York and Tennessee newspapers, died Saturday of a heart ailment. He was 99 years old.

 After working in the early 1900's as a staff member for Senators John K. Shields and Luke Lea of Tennessee, Mr. Erwin was named United States Minister to Honduras in 1937. He became the Ambassador to Honduras under President Roosevelt and served until 1948. President Truman appointed him to a second term as Ambassador to Honduras, which he served from 1951 to 1953. He retired from the State Department in 1956.

 Before his diplomatic work, Mr. Erwin was a reporter for The New York Evening World, The Nashville Tennessean and The Memphis Commercial-Appeal. As a reporter, he was involved in uncovering details of the Teapot Dome oil scandal of the 1920's.

 Mr. Erwin was born in Meador, Ky., and graduated from Baylor Military School in 1909. In 1917 he married the former Emma Hicklin, who died in 1976.

 He is survived by three nieces, Mildred L. Suarez and Emily A. Conners of Chicago, and Leslie J. Erwin of California, and three nephews, David M. Erwin of Chicago, George W. Erwin of Nevada, and James G. Erwin of California.","John D. Erwin, the United States Ambassador to Honduras under Presidents Roosevelt and Truman and a Washington correspondent for New York and Tennessee newspapers, died Saturday of a heart ailment.","March 3, 1983, Thursday, Late City Final Edition  John Erwin, Ex-Envoy From U.S. to Honduras"
1983-10-22 00:00:00,59747,"Joseph P. Lordi, the first chairman of New Jersey's Casino Control Commission, died, apparently of a heart attack, yesterday at his home in Spring Lake Heights, N.J. He was 64 years old.

 Mr. Lordi was sworn in as chairman of the commission on Sept. 6, 1977, and presided over the agency as Atlantic City casinos grew into a billion-dollar industry. He had previously been Essex County Prosecutor.

 Mr. Lordi organized the commission's 225-member staff of lawyers, auditors and other specialists. He also took the lead in interpreting the 1977 Casino Control Act, promulgating rules and regulations, conducting licensing hearings and investigating housing, transportation and other Atlantic City problems related to casinos.

 In 1980, Mr. Lordi became a focus of controversy because of an assertion made in the Abscam investigation into political corruption. Senator Harrison A. Williams Jr., Democrat of New Jersey, who was convicted in the investigation, told undercover Government agents disguised as representatives of potential Arab investors that he could - and had - influenced Mr. Lordi to help a casino company. Mr. Lordi denied the assertion and no evidence was ever offered to support it.

 Mr. Lordi retired as commission chairman on June 30, 1981. He then returned to private law practice with his brother, James, in Caldwell, N.J.

 Mr. Lordi joined the Essex County Prosecutor's office in 1959 and left in 1964 to serve as director of the state's Division of Alcoholic Beverage Control. He was named County Prosecutor in 1968, serving until his appointment as gaming commission chairman. In World War II, he was a counterespionage agent for the Office of Strategic Services in Europe.

 After the war, Mr. Lordi graduated from Rutgers University Law School.

 He soon became a deputy state attorney general, where he became acquainted with a colleague in that office, Brendan T. Byrne. Mr. Byrne, who became Governor, later appointed him to head the Casino Control Commission.

 Surviving besides his brother James are his wife, Mary; a second brother, Vito, of Caldwell; a daughter, Linda Lordi of Verona, N.J.; his mother, Angelina, of Caldwell, and four sisters: Rose Imperial of Maspeth, L.I.; Carmela George of Seminole, Fla.; Lena Farro of Middletown, N.J., and Anna Frungillo of West Orange, N.J.","Joseph P. Lordi, the first chairman of New Jersey's Casino Control Commission, died, apparently of a heart attack, yesterday at his home in Spring Lake Heights, N.J.","October 22, 1983, Saturday, Late City Final Edition  JOSEPH P. LORDI, FORMER CHIEF OF JERSEY CASINO COMMISSION"
1983-05-29 00:00:00,50451,"James H.J. Tate, the Mayor of Philadelphia from 1962 to 1972, died Friday at Shore Memorial Hospital, in Somers Point, N.J., apparently of a heart attack. He was 73 years old and lived in Longport, N.J.

 The current Mayor, William J. Green, ordered city flags flown at half staff. Mr. Green said Mr. Tate had the difficult job of guiding the city in the turbulent decade of the 1960's.

 Mr. Tate took office with the support of the local Democratic organization, in contrast with his predecessor, Richardson Dilworth, who had often been at odds with the party regulars.

 Under Mr. Tate, the city experienced a construction boom. But when civil disobedience was used to demand greater representation for blacks in the construction unions, the Mayor was at first criticized by civil rights leaders for his resistance. However, Mr. Tate eventually yielded and later helped obtain passage of the city's antidiscrimination statutes.

 Mayor Helped Restore Calm

 And in the summer of 1964, after a weekend of riots when a police officer shot a black youth, the Mayor was credited with helping to restore calm.

 James Hugh Joseph Tate was born in Philadephia on April 10, 1910. He had to work his way through school, which kept him from getting his law degree from Temple University until he was 28 years old. Mr. Tate worked for a time as a law clerk for the Common Pleas Court.

 Advancing through the ranks of the local Democratic Party in the late 1930's and early 1940's, Mr. Tate served as a committeeman, ward leader and State Assemblyman. He was first elected to the City Council in 1951.

 In 1962, Mayor Dilworth resigned to run for Governor. As City Council President, Mr. Tate automatically succeeded him. In 1963, in a close vote, Mayor Tate was elected to a four-year term. In May that year demonstrators from the Congress of Racial Equality staged a sit-in at his City Hall office to protest what they said was discrimination that kept blacks off the crews for the $18 million Municipal Service Building. At the same time, members of the National Association for the Advancement of Colored People were picketing a school construction site making similar charges.

 Ordered Construction Stopped

 Mr. Tate finally agreed to stop construction until the contractors and unions agreed to use some black workers. In 1967 he won re-election over his Republican challenger, Arlen Specter. In 1968, Mr. Tate was elected president of the National League of Cities and in 1971 he became president of the United States Conference of Mayors.

 After leaving office in 1972, Mr. Tate divided his time between work with various political and civic organizations and educational institutions in Philadelphia. He and his wife retired to Longport in the late 1970's.

 Mr. Tate is survived by his wife, the former Anne Daly; a son, Francis, of Boston; a daughter, Anne Tate Star, of Philadelphia; a sister, Margaret Tate Callahan, of Philadelphia; two brothers, Aloysius of Hatboro, Pa., and Hugh of Glenside, Pa., and a granddaughter.","James H.J. Tate, the Mayor of Philadelphia from 1962 to 1972, died Friday at Shore Memorial Hospital, in Somers Point, N.J., apparently of a heart attack.","May 29, 1983, Sunday, Late City Final Edition  JAMES TATE OF PHILADELPHIA; HELD MAYOR'S POST IN 1962-72"
1983-09-21 00:00:00,25340,"Emmett Dedmon, former vice president and editorial director of The Chicago Sun-Times and The Chicago Daily News, died of cancer Sunday at the University of Chicago Hospitals. He was 65 years old.

 Mr. Dedmon joined The Chicago Times as an assistant to the foreign editor in 1941. In World War II he joined the Army Air Corps and spent two years in a German prison camp after being shot down on a bombing mission over Hanover. He later incorporated his experiences in a novel, ''Duty to Live.''

 After the war he became literary editor of The Chicago Sun and then literary and drama editor of The Sun-Times. He was named assistant managing editor of The Sun-Times in 1955 and was named vice president and editorial director of The Sun-Times and Daily News in 1968. He resigned both positions in 1978, shortly after the closing of The Daily News was announced.

 Mr. Dedmon had served on a number of boards, including the board of trustees of the Chicago Historical Society, the Welfare Council of Metropolitan Chicago and the Chicago Chapter of the American Red Cross.

 He was the author of several books and a former member of the Pulitzer Prize selection committee. He graduated from the University of Chicago in 1939.

 Mr. Dedmon is survived by his wife, the former Claire Lyons; a son, Jonathan, of Chicago; a sister, Dee Henney of Fairbury, Neb., and two brothers, Homer, of La Grange, Ill. and Robert, of Nenah, Wis.","Emmett Dedmon, former vice president and editorial director of The Chicago Sun-Times and The Chicago Daily News, died of cancer Sunday at the University of Chicago Hospitals.","September 21, 1983, Wednesday, Late City Final Edition  Emmett Dedmon, 65; Led 2 Chicago Papers"
1983-01-06 00:00:00,26958,"Stewart M. Monchik, president of the Monchik-Weber Corporation, computer systems consultants, died Saturday of a heart attack at his home in Cos Cob, Conn. He had been suffering from multiple myeloma, a cancer of the bone marrow. He was 44 years old.

 Mr. Monchik was one of four founders of the computer company, in 1970, and had been its president since 1974. He was an authority in computerized investment technology.

 He graduated from Brooklyn College in 1960 and received a master's degree in business and personnel administration in 1966 from George Washington University.

 He is survived by his wife, the former Gail Foster; three daughters, Lauren, Heather and Kristen, all of Cos Cob; a sister, Mrs. James Albanese, and his parents, Mr. and Mrs. Irving Monchik of Hewlett, L.I.","Stewart M. Monchik, president of the Monchik-Weber Corporation, computer systems consultants, died Saturday of a heart attack at his home in Cos Cob, Conn.","January 6, 1983, Thursday, Late City Final Edition  STEWART M. MONCHIK"
1984-06-11 00:00:00,38311,"George B. Girardet, a senior vice president of the Manhattan real-estate concern of Fredric M. Reed & Company and a figure in real-estate enterprises in London and Jamaica, died of a heart attack in New York on June 1. He was 69 years old and lived in Manhattan.

 Mr. Girardet was born in China and educated in England and the United States. He served as a squadron leader with the Royal Air Force Bomber Command in World War II.

 In 1950, he helped form Graham Associates, a real-estate and development partnership in Jamaica. In 1963, he became a director of Hampton & Sons in London. In 1975, he moved to New York, where he worked with Douglas Elliman-Gibbons & Ives and Brown, Harris, Stevens Inc. before joining Fredric M. Reed & Company.

 He is survived by a son, Guy Richard Girardet of Geneva; a daughter, Gail Beatriz of New York, and a brother, W. J .B. Girardet of London.","George B. Girardet, a senior vice president of the Manhattan real-estate concern of Fredric M. Reed & Company and a figure in real-estate enterprises in London and Jamaica, died of a heart attack in New York on June 1.","June 11, 1984, Monday, Late City Final Edition  George B. Girardet, 69, Dies; ExecutiveofReal-EstateFirm"
1984-02-22 00:00:00,36605,"Catherine Barrett, former president of the National Education Association, died Saturday at Hamot Medical Center, Erie, Pa., after a long illness. She was 80 years old and lived most of her life in Syracuse, N.Y.

 An elementary school teacher in the Syracuse school system, she was president of the National Education Association in 1972 and 1973. Under her leadership, the organization established political action committees to support ''friends of education.'' She was also a member of the organization's executive committee from 1970 to 1974.

 From 1967 to 1969, Mrs. Barrett was president of the New York State Teachers Association.

 She is survived by two daughters, Mary Lou Zone of Erie, Pa., and Joanne DeLany of Camillus, N.Y.; 14 grandchildren, and two great-grandchildren.","Catherine Barrett, former president of the National Education Association, died Saturday at Hamot Medical Center, Erie, Pa., after a long illness.","February 22, 1984, Wednesday, Late City Final Edition  Catherine Barrett, 80, Dies; Led National School Group"
1984-03-17 00:00:00,36720,"Richard H. Balch, a retired Utica business executive and community leader who was New York State's Democratic Party chairman from 1952 to 1955, died Thursday at St. Luke's Memorial Hospital Center in New Hartford, N.Y. He was 83 years old and lived in Utica.

 Mr. Balch was the unsuccessful Democratic candidate for lieutenant governor in 1950 and was campaign manager for W. Averell Harriman's bid for the Democratic Presidential nomination in 1952. He was an unsuccessful candidate for mayor of Utica in 1943.

 Mr. Balch was vice president of the Horrocks-Ibbotson fishing tackle manufacturing company from 1927 to 1942 and then president until his retirement in 1968, when the company was sold.

 Once questioned about the ''charge'' that he was a member of Americans for Democratic Action, the liberal political group, he acknowledged that he was.

 ''If an upstate businessman who has been fairly successful and who is a trustee of his church is too left-wing for the Democratic Party,'' he said, ''then I must ask, 'Where is the party going?'.''

 Born in Brooklyn

 Mr. Balch was born in Brooklyn and graduated from Williams College in 1921. He joined Horrocks-Ibbotson as a clerk, rising to vice president in 1927.

 He was a past vice president of the Utica Chamber of Commmerce and past president of the Utica Community Chest. He was also a former president of the Community Action Committee, which developed training programs for workers idled by the movement of area textile plants to the South.

 Mr. Balch was chairman of Utica's Board of Water Commissioners and a member of the Board of Education and Recreation Commission.

 He is survived by his wife, the former Elizabeth S. Prescott; two daughters, Cynthia Barnes of Westmoreland, N.Y., and Barbara Colt of East Greenwich, R.I.; two sons, James B., of Sheffield, Mass., and Richard H. Jr., of Miami Shores, Fla.; 17 grandchildren, and one great-grandchild.

 A funeral service will be held at 2 P.M. today at the First Presbyterian Church in Utica.","Richard H. Balch, a retired Utica business executive and community leader who was New York State's Democratic Party chairman from 1952 to 1955, died Thursday at St. Luke's Memorial Hospital Center in New Hartford, N.Y.","March 17, 1984, Saturday, Late City Final Edition  R.H. BALCH IS DEAD; DEMOCRATIC CHIEF"
