firstSentence,id,date,fullBody,title
"Michael J. Codd, who as Police Commissioner during New York City's fiscal crisis led a department troubled by thousands of layoffs, died yesterday at his home in Elmhurst, Queens.",57885,1985-08-30 00:00:00,"Michael J. Codd, who as Police Commissioner during New York City's fiscal crisis led a department troubled by thousands of layoffs, died yesterday at his home in Elmhurst, Queens. He was 69 years old.

 A spokesman for the Police Department said Mr. Codd was believed to have suffered a heart attack.

 Mr. Codd rose through the ranks of the department to become Commissioner in 1974 under Mayor Abraham D. Beame.

 Even before taking the post he was known in station houses throughout the city as Chief Straight Arrow - testimony as much to his ramrod-straight military bearing as to his reputation. Six feet tall, 200 pounds, with gray hair, blue eyes and a strong jaw, Mr. Codd looked the part of the old-fashioned, paternal policeman. Whatever the crisis, he kept a gentlemanly calm.

 That calm was sorely tested in the years before he was forced to step aside in December 1977 to allow the incoming Mayor, Edward I. Koch, to name his own Commissioner, Robert McGuire.

 'Held the Department Together'

 By Mr. Codd's own admission, his four-year term in office, which was marked by huge layoffs and forced economies, was ''without parallel in the history of the department.''

 His major contribution during this period, according to his former deputy commissioner for public information, Francis J. McLoughlin, was that ''he held the department together.''

 The current Police Commissioner, Benjamin Ward, himself a former officer, also stressed that theme, praising Mr. Codd as ''an exceptional police professional.''

 Mr. Codd, Commissioner Ward said, ''led the department during its most severe reduction of resources, especially manpower - his competence in that crisis resulted in a continual, uninterrupted, high-caliber police service to the city.''

 'A Guy Who Was Loved'

 Former associates said Mr. Codd was extremely popular with street officers when he was named to head the department, which at the time had 32,000 officers.

 ''Here was a guy who was loved,'' Mr. McLoughlin said yesterday. ''He'd go around to precincts to speak to guys, he got applause and guys came up to shake his hand.''

 But his popularity among officers fell somewhat when he laid off 6,000 officers and froze salaries and promotions.

 The Patrolmen's Benevolent Association talked of a strike, and thousands of officers began street demonstrations during off-duty hours, in part, they said, because they thought Commissioner Codd should have publicly resisted the cutbacks.

 Fined P.B.A. Head

 Mr. Codd threatened severe measures against any police officer who struck, and followed through by putting the P.B.A. head on one-year probation and fined him $7,500 for refusing an assignment and picketing while on duty. Mr. Codd also refused amnesty to police officers for any misconduct during the demonstrations.

 After the heady applause and camaraderie of the early days of his term, the antagonism from some in the department hurt Mr. Codd deeply, Mr. McLoughlin recalled.

 He said Mr. Codd resisted suggestions to demote superior officers to fill depleted patrol ranks because he believed supervisory personnel were even more important in a shrinking department with morale problems.

 Steeped in department lore and concerned about the future, Mr. Codd said, according to Mr. McLoughlin, ''We have to leave the guys after us something that works.''

 Served in the Army

 Mr. Codd was born April 16, 1916, in West Brighton, S.I., one of 10 children of Irish immigrants. After graduating from St. Peter's High School, he worked in a Staten Island grocery store, where he became manager.

 He joined the state police in 1939 and two years later became a probationary New York City patrolman in the 20th Precinct on the West Side.

 He was drafted into the Army less than a year later and served in the military police.

 After the war, he rejoined the Police Department in the 20th Precinct. He rose to sergeant in 1949, lieutenant in 1952, captain in 1959 and deputy inspector in 1961.

 In October 1970, Commissioner Patrick V. Murphy named him chief inspector, bypassing four senior officers, to make him the highest ranking uniformed officer.

 Mr. Codd is survived by his wife, Anne; three daughters, Elizabeth Pigozzi of East Meadow, L.I.; Mary Waldron, of Queens, and Kerry Hannon of Euclid, Ohio; a son, Mark, of Grosse Pointe, Mich.; six brothers, Mark and Bernard, both of Staten Island; John, of Queens; Edward, of Ann Arbor, Mich.; Thomas, of Greenwich, Conn., and Bartholomew of Oakland, N.J.; two sisters, Catherine Breen and Elizabeth O'Connor, both of Staten Island, and seven grandchildren.

 A service will be held Tuesday at 10:30 A.M. in St. Bartholomew's Roman Catholic Church in Elmhurst.","August 30, 1985, Friday, Late City Final Edition  MICHAEL CODD, EX-POLICE COMMISSIONER, DIES"
"Leonard M. Ross, a ''whiz kid'' of television quiz shows who became a law professor at Columbia University and an economic adviser to President Carter, was found dead May 1 in a swimming pool in Santa Clara, Calif.",52151,1985-05-06 00:00:00,"Leonard M. Ross, a ''whiz kid'' of television quiz shows who became a law professor at Columbia University and an economic adviser to President Carter, was found dead May 1 in a swimming pool in Santa Clara, Calif. He was 39 years old. Lieut. Charles Seymour of the Santa Clara Police Department said yesterday that the death ''appears to be a suicide.''

 ''He was unquestionably a genius,'' said Jesse Choper, the dean of Boalt Hall Law School at the University of California at Berkeley, where Mr. Ross had taught until his resignation last year.

 Mr. Ross attracted national attention as a wunderkind at the age of 7, when he passed a Federal test for a novice ham radio operator's license. At 10, he won $100,000 on a game show called ''The Big Surprise'' with his precocious answers to stock market questions and at 11, he won $64,000 on ''The $64,000 Challenge.''

 He graduated from high school at 14 and earned a degree in economics from the University of California at Los Angeles. He also received a law degree from Yale University and was the editor in chief of The Yale Law Review.

 He was a teaching fellow at the Harvard Law School in the early 1970's, before coming to New York to teach at Columbia law school.

 With Peter Passell, a fellow teacher at Columbia, he wrote ''Retreat from Riches: Affluence and Its Enemies,'' a book that argued that rapid growth as a national policy was the only way to reduce poverty in America.

 He also wrote extensively for The New York Times Magazine, Book Review and the Op-Ed page.

 Gov. Edmund G. Brown Jr. of California appointed Mr. Ross to the Public Utilities Commission in 1975, making him one of the youngest members of the commission. He resigned in 1977 to work as a special assistant in economic affairs for the Carter Administration.

 Capt. Robert Adair of the Santa Clara police said Mr. Ross's family said he had been despondent recently.

 The manager of the Capri Motel discovered the body of Mr. Ross, clothed in a sweater and jeans, at the bottom of the pool. The pool area was padlocked.

 Mr. Ross was not registered at the Capri. He had moved in with his brother, Daniel, who lived about a mile and a half from the motel, the day before his death.","May 6, 1985, Monday, Late City Final Edition  LEONARD M. ROSS, LAW SCHOLAR, DIES"
"James Basil Wagstaff, a former general manager of De Soto and vice president of the Chrysler Corporation, died of cancer Sunday at his home in Boca Raton, Fla.",7242,1985-11-27 00:00:00,"James Basil Wagstaff, a former general manager of De Soto and vice president of the Chrysler Corporation, died of cancer Sunday at his home in Boca Raton, Fla. He was 89 years old.

 Mr. Wagstaff joined the Chrysler sales staff in 1928, the year the De Soto line was born. In 1936 he joined the De Soto division as general sales manager and was appointed vice president in 1945. He became general manager in 1958 and was named a vice president of Chrysler. He retired in 1961.

 He was a graduate of the Georgetown University Law School, having worked his way through by selling automobiles.

 He is survived by his wife, the former Harriet Coffey; a son, James Bradford Wagstaff of New Marlborough, Mass.; a daughter, Carolyn Capstick of Manhattan, and five grandchildren.","November 27, 1985, Wednesday, Late City Final Edition  JAMES BASIL WAGSTAFF"
"Dr. Howard C. Taylor Jr., a former chairman of obstetrics and gynecology at the Columbia University College of Physicians and Surgeons and an authority on family planning and cancer research, died Friday in his home in Manhattan.",20286,1985-03-24 00:00:00,"Dr. Howard C. Taylor Jr., a former chairman of obstetrics and gynecology at the Columbia University College of Physicians and Surgeons and an authority on family planning and cancer research, died Friday in his home in Manhattan. He was 85 years old and had been ill for many months.

 Dr. Taylor was the founding director of the Institute for Human Reproduction at Columbia, the first major scientific institute dedicated solely to research into reproduction and family planning.

 Over the years, his work ranged from studying the relationship between hormones and cancers to the treatment of infertility to world population problems. In 1964, he was one of the first experts to point out a trend in the United States toward voluntary sterilization as a means of birth control.

 Cancer Research

 He also served as the head of several major professional and health organizations, including the American Cancer Society, of which he was the president from 1954 to 1955. In 1959, as chairman of the society's committee on tobacco and cancer, he led an intensified program to alert the public to the dangers of cigarette smoking.

 He was born in New York City in 1900, the son of a prominent gynecologist, and attended Yale University and received his medical degree from Columbia. He began work with the gynecology staff at Roosevelt Hospital in 1928 and was an attending physician there from 1936 to 1946.

 Dr. Taylor was chief of service at Columbia from 1946 through 1965, and a major focus of his work, in addition to the practice of surgery, was clinical research on gynecological cancer. His articles on the physiology of pregnancy and cancer appeared in many journals.

 Family-Planning Research

 In 1965, he was appointed director of the new Human Reproduction Institute, intended to coordinate scientific work on reproduction. ''There is no problem of greater concern to world leaders than the dramatic increase in population,'' he said at the time. ''It's more important in my opinion than conquering heart disease, cancer and stroke.''

 He also served as president of the American Public Health Association and the American Association of Planned Parenthood Physicians, as well as editor in chief of The American Journal of Obstetrics and Gynecology.

 He is survived by his wife, Caroline; a son, Howard C., of Jericho, Vt.; two daughters, Barbara T. Schoen of Bronxville, N.Y., and Alice T. Day of Washington, and nine grandchildren.","March 24, 1985, Sunday, Late City Final Edition                               Correction Appended  DR. H.C. TAYLOR JR., GYNECOLOGIST, DIES"
"Theodore H. White, the ex-newsboy who became a Pulitzer Prize-winning journalist skilled at humanizing events in his ''Making of the President'' books and myriad other writings, died late Thursday night at Lenox Hill Hospital.",20386,1986-05-17 00:00:00,"Theodore H. White, the ex-newsboy who became a Pulitzer Prize-winning journalist skilled at humanizing events in his ''Making of the President'' books and myriad other writings, died late Thursday night at Lenox Hill Hospital.

 Mr. White was admitted to the hospital after suffering a stroke last Friday.

 He was 71 years old and lived in a house in Bridgewater, Conn., and a brownstone on the East Side of Manhattan.

 ''A storyteller of elections'' is what the exuberant Mr. White liked to call himself in his later years. ''There is no excitement anywhere in the world, short of war,'' he once wrote, ''to match the excitement of an American Presidential campaign.''

 His excitement was contagious. The British political scientist and author R. H. S. Crossman praised what he called Mr. White's ''brilliant presentation of democracy in action,'' noting that he ''knows the art of creating suspense.''

 Correspondent in China

 Simon Michael Bessie, the editor and publisher of eight of Mr. White's books, beginning with ''The Making of the President 1960,'' at the Atheneum and Harper & Row publishing houses, said: ''Teddy White has made the history and inner working of American politics interesting and intelligible to more people than any other writer of his generation. His gifts as reporter, historian and storyteller have produced books of lasting value.''

 It was after a hardscrabble Depression boyhood and a summa cum laude Harvard degree that Mr. White started out, as a foreign correspondent for Time, covering war and famine in China. He later was co-author of a 1946 book about that country, ''Thunder Out of China,'' which the former New York Times editor Harrison E. Salisbury later called ''indispensable for an understanding of the struggle which brought the Chinese Communists to power.''

 Mr. White also covered the wrenchings of history in India and the spit, polish and drama of the Japanese surrender aboard the the battleship Missouri for Time, finding himself - as he wrote later - ''entranced by power and force during the war years in Asia.''

 Moving on to Europe, he became, as he put it, ''convinced of American virtue during the years of reconstruction'' after World War II. Later, back in the United States, he began seeing American politics ''as an adventure in which men sought their identity.''

 Novel-Writing Techniques

 After working also for The Reporter, Collier's and other publications and writing two works of fiction, he decided, during a quiet weekend on Fire Island, N.Y., in late 1959, to use novel-writing techniques in a book-length chronicle of the next Presidential campaign.

 The upshot was ''The Making of the President 1960,'' which won him national fame and the Pulitzer Prize. Heartened by its success, he went on to write similarly titled works, about the races of 1964, 1968 and 1972, which kept his name on best-seller lists.

 Then came his stinging ''Breach of Faith: The Fall of Richard Nixon,'' which came out in 1975 and was praised by the Times columnist James Reston as the best of Mr. White's ''superb books on the Presidency.''

 It was followed by Mr. White's stirring and much-praised memoir, ''In Search of History: A Personal Adventure,'' in 1978 and his sweeping and controversial ''America in Search of Itself: The Making of the President 1956-1980'' in 1982.

 'Literature of Reality'

 Summing up himself, as his writings summed up legions of other notable men and women of his time, Mr. White once called himself an author dealing in observed reality - what has come to be called in France ''les choses vues.'' That literary tradition, he said, ''proliferated with my generation.''

 ''The American literature of reality includes John Gunther inside his U.S.A., Edgar Snow following the Red Star over China, John Hersey reporting on Hiroshima,'' Mr. White observed. ''I think I fit in that stream and I'm proud of it.''

 Not only proud, ecstatic. Pounding at his typewriter, peering down through his wire-rimmed glasses at the emerging words, Mr. White used to feel, as he once put it, ''bursts of ecstasy when the hours of writing swept by like minutes, all the words flowing in paragraphs preshaped by unconscious thinking.''

 The joy and success that Mr. White found in his work might have brought serenity to a simpler man. But by late 1975, he wrote in his memoirs, he was angry with himself, mainly because for years he ''had neither paused nor dug deep enough to answer'' the question of what events were ''really all about.''

 Identities and Ideas

 Now it struck him that ''identities in politics were connected far more to ideas than to ego,'' as he wrote then, and that ''at the core of every great political identity lay an idea - an idea imposed on the leader from his past, which the leader absorbed, changed and then imposed on the others outside.''

 Mr. White came to be widely seen as what Robert Sherrill, writing in The New York Times Book Review in 1982, called someone ''who with age and success has turned conservative.'' But Mr. White viewed himself in a different light.

 ''I don't think of myself as a conservative,'' he once said. ''I believe that dogma - and that includes liberal and conservative dogma - must not take precedence over reality. A liberal is a person who believes that water can be made to run uphill. A conservative is someone who believes everybody should pay for his water. I'm somewhere in between: I believe water should be free, but that water flows downhill.''

 Regardless of ideology, Mr. White, who was widely known as Teddy, was an inspired talker, whether at home, in his clubs or in a favorite East Side restaurant.

 ''Teddy was as brilliant a conversationalist as he was a writer; he made history live,'' Julian Bach, his literary agent, observed. ''In his conversation, when he got going, on politics, history or social history or about people in the news, he would lean forward and his whole face would absolutely shine. He would keep everybody glued listening to him.''

 A Depression Boyhood

 Theodore Harold White's early life was more austere, even in some ways bleak. He was born May 6, 1915, in Boston, the first of four children of Mary Winkeller White and David White, a scholarly man, trained as a lawyer, who during the Depression had to collect rents for slumlords to make ends meet.

 The family was poor, Theodore White wrote in ''In Search of History'' - in which he sometimes referred to himself in the third person - so poor that his earliest childhood memory ''was of the sound of his mother crying late one night, crying to his father because there was no money to buy shoes for the children.''

 As a boy, Theodore White rose before dawn to sell newspapers on streetcars. Then, after attending the Boston Latin School, he entered Harvard College on a scholarship awarded to newsboys, majored in history and achieved an early triumph, earning his bachelor's degree summa cum laude in 1938. Later that year a Frederick Sheldon Traveling Fellowship catapulted him to China, which he made his base while he honed his skills reporting for Time.

 He then returned for a time to the United States and wrote his first book, ''Thunder Out of China,'' with Annalee Jacoby as co-author. Then, from 1948 to 1953, Mr. White covered the Marshall Plan, NATO and other aspects of postwar Europe, topics he touched on in his second book, ''Fire in the Ashes,'' which appeared in 1953. Writing in The Times Book Review, Richard Rovere later called it ''superior to anything else to come out of those years of agony and promise.''

 Wrote Two Novels

 When Collier's magazine folded in 1956, Mr. White found himself out of work. He then wrote his first novel, ''The Mountain Road'' (1958), based on his experiences in China, which was subsequently made into a movie with the same title. His second novel, ''The View from the Fortieth Floor'' (1960), was based on his experiences at Collier's.

 After turning in that book to the publisher, Mr. White resolved, as he put it in his memoirs, to ''take the next two years to write a book about how a President is made.''

 ''The idea,'' he continued, ''was to follow a campaign from beginning to end. It would be written as a novel is written, with anticipated surprises as, one by one, early candidates vanish in the primaries until only two final jousters struggle for the prize. Moreover, it should be written as a story of a man in trouble, of the leader under the pressure of circumstances.''

 And so, early in 1960, Mr. White found himself ''waiting in snow-coated Wisconsin for a plane bearing John F. Kennedy,'' then a Senator aspiring to the White House. ''And the Senator, coming off, was saying 'Hi. Hi, Teddy, I heard you were writing a book about the campaign.' ''

 Recalling Kennedy's Tears

 And so, too, on the day after Election Day in 1960, Mr. White found himself watching Mr. Kennedy go before the cameras for the first time as President-elect.

 Mr. Kennedy had tears in his eyes, Mr. White noted in his memoirs, adding, ''I have observed that most men, when elected President and first sensing that they have it all in their hands, break down and wipe tears from their eyes.''

 But minutes later, that particular President-elect was cheerfully taunting Mr. White, saying, ''O.K., Teddy, now you can go ahead and write that book of yours.''

 A week after President Kennedy's assassination, Mr. White, having gained Jacqueline Kennedy's trust, was summoned to the family compound in Hyannisport, Mass. There, after listening to her long and sympathetically, he wrote a Life magazine article which, at her urging, used the word ''Camelot'' to refer to the Kennedy Administration.

 The Sound of Politics

 During the two decades that Mr. White covered Presidential electoral politics, he followed familiar campaign sounds, beginning with, as he wrote in his memoirs, ''the nervous rattle of practicing drums, the shuffle that precedes the parade.''

 ''The sound was almost irresistible,'' he wrote, ''because in American politics it is when the parade is falling in that it is most exciting.''

 And so, he wrote, he followed those sounds ''across the country and back, again and again, and up with the crescendo to the conventions, on through the rallies with pretty girls in shakos and pompons kicking in town squares and crowds yelling in big-city arenas until, suddenly on a November night, there would be a new President.''

 After he won the Pulitzer Prize, for his 1960 ''Making'' book, he got a wry note of congratulation from President Kennedy saying simply: ''It pleases me that I could at least provide a little of the scenario.''

 Responding to Critics

 Though widely praised, the ''Making'' books received some criticism. In 1978, Mr. Rovere called them ''a monument of journalistic enterprise,'' but contended that they were less successful than Mr. White's first two books of reporting, about foreign affairs.

 ''White's respect - love - for the people and institutions he was writing about led him to celebrate some rather shabby characters,'' Mr. Rovere contended.

 Asked about that sort of criticism, Mr. White once replied: ''Look. The only leaders I really hated were Hitler and Stalin. I've tried to see the different sides of people. I've been called anti-Nixon and pro-Nixon. Just say I'm soft on the human race.''

 Mr. White also planned a 1976 ''Making'' book, but the Watergate scandal led him to write ''Breach of Faith'' instead, followed three years later by ''In Search of History.'' That book, Mr. Rovere wrote, had ''all the pace and energy'' of Mr. White's earlier nonfiction works, but ''more insight, more reflection, more candor, more intimacy, more humor, more humility, surer and sharper judgments of those he writes about, including himself.''

 'Lamentation' for America

 But there was some strong criticism of ''America in Search of Itself.'' Mr. Sherrill contended that ''in his zeal to portray the United States as a latter-day crumbling Rome, Mr. White makes some foolish appraisals of our helplessness.''

 ''The chief virtue of this Ecclesiastes-like lamentation,'' Mr. Sherrill said, ''is that it raises some important questions that need to be asked. The chief defect is that it is riddled with so many half-baked assumptions and so many historical details that are sloppily drawn, misleading or just plain wrong.''

 And Susan Bolotin, also writing in The Times, said, ''Mr. White deserves full credit for his talent as a storyteller'' but observed that the book contained an ''underlying bitterness.''

 ''Women get Mr. White's hackles up, and it shows,'' she wrote, adding that ''some blacks might wonder, too,'' at his statement that ''the speeding breakup of black and minority families was putting on the streets young people who were a danger to all.''

 But she noted that ''for more than 20 years'' he had ''worked devilishly hard to hold his position as chief chronicler of America's national electoral process'' and ''more recently, through a combination of experience, longevity and much public exposure, his status has risen to that of quasi statesman.''

 A Partnership Dissolved

 In April 1984, Mr. White was busy covering the prelude to that year's Presidential election when it was announced that his next book, ''The Making of the President 1984,'' would be largely reported and written by Time magazine staff members.

 Mr. White himself was to write three chapters of the book and edit the rest jointly with Ralph Graves, the former editorial director of Time Inc., with whom he had worked in the past.

 But in October of that year, when the book was one third finished, the literary partnership was dissolved. Mr. Bach, Mr. White's literary agent, observed at the time that ''doing a book by committee, as it were, did not prove to be quite the same as doing a book alone.''

 Before he suffered his stroke, Mr. White was writing a second volume of memoirs, to be entitled ''In Search of History, Volume II.'' He had finished about a third of it.

 Won Two Emmy Awards

 Over the years, Mr. White also brought his journalistic skills to television, including documentary television-writing and political commentary, winning Emmy Awards in 1964 and 1967. In addition, he edited the papers of Gen. Joseph W. Stilwell, published in 1948, and was the author of a play, ''Caesar at the Rubicon'' (1968).

 In addition, he served as a member of the Board of Overseers of Harvard University, a director of the Encyclopedia Britannica and a trustee of the Asia Society.

 Mr. White married Nancy Ariana Bean in 1947. The marriage ended in divorce in 1971. In 1974 he married Beatrice K. Hofstadter.

 He is survived by his wife; a brother, Robert Mayer White of Bethesda, Md.; a daughter, Ariana Van Der Heyden White, who is known as Heyden, and a son, David Fairbank White, both of Manhattan.

 A memorial service for Mr. White will be held at noon on Tuesday at Temple Emanu-El, Fifth Avenue at 65th Street. The speakers will be Senator Daniel Patrick Moynihan, Democrat of New York; Richard M. Clurman, journalist and close family friend; John King Fairbank, the China scholar who is Francis Lee Higginson Professor of History, Emeritus at Harvard University; Heyden White, and Blair Clark, former editor of The Nation magazine.","May 17, 1986, Saturday, Late City Final Edition  THEODORE H. WHITE, AWARD-WINNING CHRONICLER OF U.S. POLITICS, DIES AT 71"
"John C. Mandanici, Mayor of Bridgeport, Conn., from 1975 to 1981, died of a circulatory disorder yesterday at St. Vincent's Medical Center in Bridgeport.",44160,1986-01-08 00:00:00,"John C. Mandanici, Mayor of Bridgeport, Conn., from 1975 to 1981, died of a circulatory disorder yesterday at St. Vincent's Medical Center in Bridgeport. He was 68 years old and lived in Bridgeport.

 Mr. Mandanici, a Democrat who was also a former city clerk of Bridgeport, served three terms as Mayor. In 1975, he defeated the incumbent Mayor, Richard S. Scalo, a Republican, winning 63 percent of the vote.

 For nearly 40 years before his election, he operated an A. & P. store in Bridgeport.

 The Mandanici administration was marked by Federal investigations into reports of corruption. Mr. Mandanici was never implicated but more than a dozen members of his administration were convicted on state or Federal corruption charges.

 Seeking a fourth term in 1981, Mr. Mandanici was defeated by Leonard S. Paoletta by 64 votes. In 1985, he made another try for the mayor's office, but was defeated in a Democratic primary.

 He is survived by his wife, Mary Grace Mullins Mandanici; two daughters, Mary Louise Mandanici of Bridgeport and Cecelia E. Anderson of Easton, Conn.; two sons, John C., of Huntington, Conn., and Francis T., of Bridgeport; a brother, Ernest, of Bridgeport; two sisters, Florence Valentino and Theresa Pontillo, both of Bridgeport, and seven grandchildren.","January 8, 1986, Wednesday, Late City Final Edition  John Mandanici Dies; Ex-Mayor of Bridgeport"
"William M. Meehan, senior partner of the stock brokerage of M. J. Meehan & Company and a former governor of the New York Stock Exchange, died Sunday at Southampton (L.I.)",20592,1986-07-09 00:00:00,"William M. Meehan, senior partner of the stock brokerage of M. J. Meehan & Company and a former governor of the New York Stock Exchange, died Sunday at Southampton (L.I.) Hospital. He was 71 years old and lived in Manhattan.

 Mr. Meehan, a native New Yorker, became a member of the New York Stock Exchange in 1935, when his father, one of the exchange's biggest brokers, gave him a 21st birthday present of $130,000 - then the going price of a Big Board seat. He was the senior partner in M. J. Meehan & Company, established by his late father, Michael, from 1937 until his death.

 Surviving are his wife, the former Miriam Fitzsimmons; two sons, Terence, of Manhattan, and William Jr., of San Francisco; two daughters, Joanne Berghold of Pawling, N.Y., and Maureen Sennott of Manhattan, and four grandchildren.","July 9, 1986, Wednesday, Late City Final Edition  WILLIAM M. MEEHAN"
"Frank Arthur Daniels Sr., chairman of the board of the company that publishes Raleigh's two daily newspapers, died of congestive heart failure today.",20344,1986-05-06 00:00:00,"Frank Arthur Daniels Sr., chairman of the board of the company that publishes Raleigh's two daily newspapers, died of congestive heart failure today. He was 81 years old. Mr. Daniels began working for the concern, The News and Observer Publishing Company, in the pressroom after graduating from the University of North Carolina at Chapel Hill in 1927. Forty-three years later, he became chairman of the board.

 The News and Observer, a morning newspaper, purchased The Raleigh Times, an afternoon paper, in 1955.

 Mr. Daniels was active in newspaper circles at the national level, serving on the board of directors of The Associated Press from 1964 to 1968 and appearing as a press spokesman at Congressional hearings.

 He was president of the North Carolina Press Association in 1948-49, president of the Southern Newspaper Publishers Association in 1951, a director of the American Newspaper Publishers Association from 1955 to 1964 and A.N.P.A. treasurer in 1963-64.

 Mr. Daniels is survived by a son, Frank A. Daniels Jr., president of the publishing company; a daughter, Patricia Daniels Woronoff, of Ann Arbor, Mich.; seven grandchildren, and one great-grandchild.","May 6, 1986, Tuesday, Late City Final Edition  Frank A. Daniels Sr., 81, Dies; Head of Raleigh Newspapers"
"Thomas C. Dillon, former chief executive officer of BBDO International, one of the world's largest advertising agencies, died of cancer Friday at New York University Hospital.",44403,1986-03-10 00:00:00,"Thomas C. Dillon, former chief executive officer of BBDO International, one of the world's largest advertising agencies, died of cancer Friday at New York University Hospital. He was 70 years old and lived in Manhattan.

 Mr. Dillon worked at the agency for more than 40 years, creating advertisements for products and companies such as Cream of Wheat, Northern Pacific Railway and General Mills.

 Mr. Dillon was born in Seattle and grew up in Minneapolis, where his father, Thomas J. Dillon, was editor in chief of The Minneapolis Tribune. He studied at Harvard College, but left after three years and joined the company in 1938 as a copywriter in the Minneapolis office.

 In 1939, Mr. Dillon moved to the Los Angeles office. He became vice president and treasurer of the company and in 1958 moved to New York as head of marketing, media and research. He became president in 1964 and, three years later, was elected chief executive officer. In 1975, he was elected chairman, He remained a director of the company after he retired in 1980.

 After retirement, Mr. Dillon founded his own firm, Mintaka Inc., a company that publishes specialized business reports.

 In 1980, he was inducted into the Advertising Hall of Fame.

 His first wife, Georgiana Adams, died in 1964.

 Mr. Dillon is survived by his wife, Patricia, of New York City; two sons, Thomas, of Weston, Conn., and George, of Boston; a daughter, Victoria Stogel of St. Louis, and six grandchildren.","March 10, 1986, Monday, Late City Final Edition  Thomas C. Dillon, 70, Former Head of BBDO"
"Dr. Giorgio Corrias, Italy's trade commissioner in New York from 1982 to 1985, died of a heart attack Sunday at his home in Cagliari, Sardinia.",32878,1987-08-26 00:00:00,"Dr. Giorgio Corrias, Italy's trade commissioner in New York from 1982 to 1985, died of a heart attack Sunday at his home in Cagliari, Sardinia. He was on vacation from his post as Italian trade commissioner in Tokyo when he was stricken. He was 59 years old.

 Dr. Corrias, who received his doctorate in law from the University of Cagliari, served for many years in the Italian Ministry of Foreign Trade.

 As trade commissioner he was responsible for promoting Italian products. He held similar positions in Moscow and Tokyo before coming to New York.

 He is survived by his wife, Rosalia; a son, Gianluca, and two daughters, Barbara and Francesca, all of Cagliari and Rome.","August 26, 1987, Wednesday, Late City Final Edition  Dr. Giorgio Corrias, an Envoy For Italian Trade, Dies at 59"
"Edna Manley, a Caribbean artist and art patron and the widow of Jamaica's first Prime Minister and the mother of another, died Monday at her home, according to a family spokesman.",605,1987-02-12 00:00:00,"Edna Manley, a Caribbean artist and art patron and the widow of Jamaica's first Prime Minister and the mother of another, died Monday at her home, according to a family spokesman. She was 86 years old.

 ''The information we have is that Mrs. Manley died last night in her sleep,'' the spokesman said, giving no cause of death.

 Mrs. Manley was regarded as a major Caribbean and Latin American sculptor. At the same time, she was, as the wife of one of Jamaica's leading political figures, Norman Washington Manley, a major patron of the arts.

 In colonial Jamaica as early as 1937 she fostered art with her own work and by teaching a generation of Jamaican artists.

 She helped found Forum, a magazine in which young Caribbean poets and writers were often first published, and helped found the Jamaica Art School.

 Her own sculpture earned her international recognition, including exhibitions in France and England.

 Mrs. Manley was born Edna Swithenbank, in Hampshire, England, of a Jamaican mother and a British father. In 1921 she married her first cousin, a Rhodes scholar and lawyer who founded the People's National Party in Jamaica and helped lead his country to political independence in 1962. He died in 1969.

 Mrs. Manley is survived by two sons: Michael, leader of the party his father founded and Jamaica's Prime Minister from 1972 to 1980, and Douglas, a social scientist who served in his brother's Cabinet.","February 12, 1987, Thursday, Late City Final Edition  Edna Manley, an Artist And Patron in Jamaica"
"Ting-Yung Hang, a former editor in chief and publisher of The China Tribune in New York, died of cancer Saturday at Parsons Hospital in Queens.",2676,1987-05-12 00:00:00,"Ting-Yung Hang, a former editor in chief and publisher of The China Tribune in New York, died of cancer Saturday at Parsons Hospital in Queens. He was 79 years old and lived in Fresh Meadows, Queens.

 Mr. Hang, a native of China, was an official of the Nationalist Party who helped organize a Chinese youth corps for the resistance against the Japanese invaders.

 He came to the United States toward the end of World War II and joined the staff of The China Tribune in 1951 as an editor, rising to editor in chief and publisher. The paper is a general-news, Chinese-language publication serving the Chinese community here.

 After his retirement nine years ago, he did research at the Center for Asian Studies of St. John's University and wrote a book for which he won a prize from the Sun Yat-sen Cultural Foundation in 1982. The book chronicled and analyzed the American travels of Dr. Sun, founder of the Chinese Republic, when he was organizing the revolution against the Ching dynasty.

 Mr. Hang is survived by his wife, Lok Chu-Fen.","May 12, 1987, Tuesday, Late City Final Edition  Ting-Yung Hang Dies at 79; An Ex-Journalist and Scholar"
"Howard V. Funk, who was superintendent of schools in Bronxville, N.Y., for 10 years, died of heart failure Tuesday at Lawrence Hospital in Bronxville.",32629,1987-07-10 00:00:00,"Howard V. Funk, who was superintendent of schools in Bronxville, N.Y., for 10 years, died of heart failure Tuesday at Lawrence Hospital in Bronxville. He was 91 years old and lived in Tuckahoe, N.Y.

 Mr. Funk was a teacher in the Bronxville public school system for 20 years before being named superintendent in 1947. He also helped train teachers for Peace Corps service at Teachers College, Columbia University.

 He is survived by his wife, the former Margaret Stewart; a son, Peter C., of London; a daughter, Margaret F. Martin of Middlebury, Vt.; a sister, Grace F. Cunningham of Spencer, Iowa, and nine grandchildren.","July 10, 1987, Friday, Late City Final Edition  HOWARD V. FUNK"
