fn,words,first500
Indobit-A-NYT2010_501-1000-242.txt,"[""children's writer"", ""non-fiction writer"", ""essayist"", ""writer""]","
 Barbara Holland, a writer whose humorous essays sang the simple pleasures of
 drinking martinis, cursing and eating fatty foods, and who wrote an evocative
 best-selling memoir of her childhood and adolescence in the Washington suburbs,
 died on Sept. 7 at her home in Bluemont, Va. She was 77.
 The cause was lung cancer, her daughter, Emily Brewton Schilling, said.
 In her essay collection ''Endangered Pleasures: In Defense of Naps, Bacon,
 Martinis, Profanity, and Other Indulgences'' (1995), "
Indobit-A-NYT1981 - July 1 - Sep 30-181.txt,"[""artist"", ""novelist"", ""screenwriter"", ""science fiction writer"", ""writer""]","
 Paddy Chayefsky died on Saturday, Aug. 1, in the final act of a life as complex
 and colorful as anything he wrote, and in the middle of his return to the
 theater he viewed with love and anguish.
 He had not written a play for 17 years, but at the time of his death he was
 working on a new drama. And memories of those gentler years when he was one of
 Broadway's most active and imaginative playwrights flood back to his friends and
 colleagues -and I am proud to have been one of them.
 Between"
Indobit-A-NYT2016_1-500-451.txt,"[""warrior"", ""farmer"", ""military personnel"", ""aviator"", ""politician"", ""fighter pilot"", ""flying ace"", ""navigator""]","
 Kaname Harada, a former fighter ace who was believed to be the last surviving
 combat pilot to fly for Japan at Pearl Harbor, and who became an apostle of
 pacifism a half-century later out of remorse over the deaths he caused, died on
 Tuesday in Nagano, northwest of Tokyo. He was 99.
 His daughter, Chiyoko Tanaka, confirmed his death.
 Rather than waiting until he was drafted, Mr. Harada enlisted in the Japanese
 Marines in 1933 when he was barely 17. After transferring to flight school and
"
Indobit-A-NYT1986_501-1000-241.txt,"[""politician""]","
 John B. Sullivan, retired deputy chief fire marshal of the New York City Fire
 Department, died Saturday at his home in the Bronx. He was 75 years old.
 Mr. Sullivan, who retired in 1975, joined the department in 1945 as a fire
 marshal. He became a supervising deputy fire marshal in 1969 and deputy chief in
 1971. Fire marshals investigate the causes of fires and have the power to arrest
 arson suspects.
 Before joining the Fire Department, Mr. Sullivan was an aqueduct patrolman for
 the New "
Indobit-A-NYT1983 - Oct 1 - Dec 31-311.txt,"[""designer"", ""artist"", ""graphic designer"", ""engraver"", ""visual artist""]","
 Bishop John A. T. Robinson, the Anglican theologian whose unorthodoxy drew the
 wrath of traditionalist leaders of the Church of England, died Monday night at
 his home in Yorkshire, England. He was 64 years old.
 The death was announced by a church spokesman in London, who said Bishop
 Robinson had suffered from cancer for some time.
 In his long career as Bishop Suffragan of Woolwich, Assistant Bishop of
 Southwalk, lecturer in theology at Cambridge University, preacher and author,
 Bishop R"
Indobit-A-NYT2012_1-500-389.txt,"[""art historian"", ""cultural studies scholar"", ""humanities scholar"", ""social scientist"", ""anthropologist"", ""researcher"", ""historian"", ""archaeologist"", ""writer"", ""interdisciplinary scientist"", ""non-fiction writer"", ""scientist""]","
 Charles Higham, a prolific celebrity biographer whose books drew vast attention
 for their memorably vast claims (Errol Flynn was a Nazi spy, Howard Hughes
 played a central role in Watergate), died on April 21 at his home in Los
 Angeles. He was 81.
 His death, apparently of a heart attack, was announced on Wednesday by his
 friend Todd McCarthy, the chief film critic of The Hollywood Reporter.
 Mr. Higham (pronounced HYE-um), who began his career as a poet, wrote some two
 dozen biographies,"
Indobit-A-NYT2001 - April 1 - June 30-347.txt,"[""film actor"", ""screenwriter"", ""television actor"", ""artist"", ""writer"", ""actor""]","
 Carroll O'Connor, an actor trained in Shakespearean drama who achieved his
 greatest triumph playing Archie Bunker, television's malapropian, working-class
 bigot from Queens, died on Thursday at a hospital in Culver City, Calif. He was
 76 and lived in Malibu, Calif.
 The cause was a heart attack, said Joe Handy, a spokesman for the actor.
 In a career spanning five decades, Mr. O'Connor won five Emmys. Four were for
 his work in CBS's ""All in the Family,"" in which he played Archie, that patr"
Indobit-A-NYT2001 - Jan 1 - March 31-143.txt,"[""warrior"", ""fighter pilot"", ""navigator"", ""aviator"", ""military personnel""]","
 Air Vice Marshal Johnnie Johnson, the British fighter pilot who shot down 38
 German planes, becoming the leading Allied air ace of World War II in Europe,
 died yesterday at his home in Derbyshire, England. He was 85.
 The cause was cancer, The Daily Telegraph reported.
 Flying the single-engine Spitfire fighter, Air Vice Marshal Johnson completed
 more than 1,000 missions. He was never shot down and acknowledged having been
 hit only once, when he was jumped by a group of Messerschmitts.
 He"
Indobit-A-NYT2000_501-1000-483.txt,"[""journalist"", ""non-fiction writer"", ""writer""]","
 Uri Gordon, an Israeli official and Zionist leader who played important roles in
 the resettlement of thousands of Ethiopian and Russian Jews in Israel in the
 1980's and 90's, died on Sunday in Israel. He was 65.
 He had suffered for months from a number of illnesses, said Deborah Lipson, a
 spokeswoman for the Jewish Agency, a quasi-governmental organization that
 oversees immigration to Israel, The Associated Press reported.
 The craggy-faced Mr. Gordon was long known as Mr. Aliya -- the He"
Indobit-A-NYT2006_1001-1372-212.txt,"[""politician""]"," DJIBOUTI, Nov. 22
 Hassan Gouled Aptidon, the first president of Djibouti, who was in office for 22
 years after independence from France in 1977, died Tuesday at his home. He is
 believed to have been 90.
 His death followed a long illness, a member of his family said.
 Mr. Gouled stepped down in 1999, paving the way for Ismail Omar Guelleh, his
 nephew and chief of staff, to succeed him as president. Mr. Guelleh was elected
 in the country's first multiparty presidential elections that year a"
Indobit-A-NYT1995 - May 1 - June 30-161.txt,"[""bridge player""]","
 G. Robert Nail, one of America's leading bridge players, died on Thursday in
 Houston. He was 70.
 The cause was a heart attack, his wife, Betty, said.
 Mr. Nail reached his peak as a bridge player in 1962 and 1963, when he
 represented the United States in two world team championships, finishing second
 twice to the great Italian Blue Team. Both times, the nonplaying captain shifted
 Mr. Nail to a partner he was not used to. The switch was effective in 1962, but
 failed in 1963, probably losi"
Indobit-A-NYT1980_501-904-318.txt,"[""journalist"", ""photographer"", ""artist"", ""visual artist"", ""writer"", ""photojournalist"", ""non-fiction writer""]","
 Richard G. Drew, a chemical engineer who invented Scotch tape, died Sunday in
 Santa Barbara, Calif., where he took up residence after his retirement. He was
 81 years old.
 Mr. Drew was a laboratory technician for the Minnesota Mining and Manufacturing
 Company in St. Paul when he invented the transparent tape for the express
 purpose of sealing cellophane wrappings of such wares as candy, baked goods or
 shirts.
 That was in September 1930, and people have been inventing uses for the tape
 e"
Indobit-A-NYT2004_1001-1263-68.txt,"[""boxer""]","
 Jimmy McLarnin, an enormously popular fighter who beat 13 world champions,
 including Benny Leonard and Barney Ross, during his 14-year professional career,
 died Oct. 28. He was 96.
 McLarnin, known as Baby Face, died in an assisted-living home in Richland,
 Wash., where he had lived for two years, his daughter-in-law, Karen McLarnin,
 said.
 Although he was from Vancouver, British Columbia, and lived in California during
 his boxing career, McLarnin fought 13 of his final 14 fights in New Yo"
Indobit-A-NYT2005 - April 1 - June 30-167.txt,"[""photographer"", ""jazz musician"", ""composer"", ""artist"", ""visual artist"", ""musician""]","
 Stan Levey, one of the first drummers to master the complex form of jazz known
 as bebop, died on April 19 in Van Nuys, Calif. He was 79 and lived in Sherman
 Oaks.
 He died two months after surgery for cancer of the jaw, said his wife, Angela.
 Mr. Levey worked with Peggy Lee, Ella Fitzgerald, Bobby Darin and many other
 singers, and with the big bands of Benny Goodman, Woody Herman and Stan Kenton.
 He was also a ubiquitous presence in Los Angeles recording studios for many
 years. But he ea"
Indobit-A-NYT1981 - April 1 - June 30-240.txt,"[""politician""]","
 Ali Shayegan, an opponent of Shah Mohammed Riza Pahlevi who had been living in
 political exile in New York and New Jersey since 1958, died Monday at the
 Pascack Valley Hospital in Westwood, N.J., after suffering a stroke.  He was 79
 years old.
 Mr. Shayegan was a Member of Parliament and a close aide to Prime Minister
 Mohammed Mossadegh, who was overthrown by army officers loyal to the Shah in
 1953. He organized the Iranian National Front in Exile in New York in the late
 1950's and helpe"
Indobit-A-NYT1995 - Sep 1 - Oct 31-146.txt,"[""entrepreneur"", ""physicist"", ""inventor"", ""chemist"", ""businessperson"", ""researcher"", ""mathematician"", ""scientist"", ""engineer""]","
 Dr. James Watt, a public health researcher and administrator who was the
 director of the National Heart Institute in the 1950's, died on Aug. 22 at
 Sentara Norfolk General Hospital in Norfolk, Va. He was 84 and lived in Norfolk.
 The cause was prostate cancer, said Dr. Myron E. Wegman, a friend and colleague
 who recently reported the death.
 Dr. Watt was born in Thomasville, Ga., and his career choice was strongly
 influenced by a summer resident of the town who offered to help pay for his
"
Indobit-A-NYT2007 - Oct 1 - Dec 31-64.txt,"[""politician""]","
 Catherine Roraback, a lawyer who pressed the Connecticut case that eventually
 led the United States Supreme Court to rule that laws banning the use of
 contraceptives were unconstitutional, a precursor to its Roe v. Wade decision on
 abortions, died on Wednesday in Salisbury, Conn. She was 87.
 Her death was confirmed by a cousin, Andrew Roraback.
 Ms. Roraback was the lead lawyer in several other controversial cases in her
 50-year career, including the 1971 trial of the Black Panther leader"
Indobit-A-NYT1995 - July 1 - Aug 31-300.txt,"[""sport cyclist""]","
 Jurgen Schneider, a teacher and balletmaster at American Ballet Theater, the
 Stuttgart Ballet and the Royal Ballet, drowned on Aug. 15 in Miami Beach, where
 he lived. He was 59.
 Mr. Schneider trained at the government ballet school in East Berlin, where he
 was born, and at the State Institute for Theater Arts in Moscow, at the Bolshoi
 Ballet and the Vaganova Choreographic Institute in Leningrad, where he was a
 classmate of Rudolf Nureyev. He performed with companies in East Germany,
 inc"
Indobit-A-NYT2010_1-500-283.txt,"[""car designer""]","
 Donald N. Frey, the engineer who spearheaded the design and development of the
 Mustang, the spunky, stylish, affordably priced ''pony car'' that the Ford Motor
 Company rolled out in the mid-1960s in one of the most successful car
 introductions in automotive history, died March 5 in Evanston, Ill., where he
 lived. He was 86.
 The cause was a stroke, his son Christopher said.
 Though much of the Mustang was borrowed from other Ford vehicles, including a
 Falcon chassis, the car developed an "
Indobit-A-NYT2006_1001-1372-252.txt,"[""bureaucrat"", ""police officer"", ""law enforcement officer"", ""civil servant""]","
 Robert Volpe, a painter with a flowing mustache who gained street smarts chasing
 drug smugglers as a police officer and then put those skills to use as the New
 York City Police Department's one-man art-theft squad in the 1970s, died on Nov.
 28 at his home on Staten Island. He was 63.
 The cause was a heart attack, his family said.
 Mr. Volpe began his art career painting pictures of tugboats as a teenager and
 selling them for $250. By the mid-1970s, after his work had turned more
 abstract"
Indobit-A-NYT1985 - July 1 - Sep 30-114.txt,"[""bureaucrat"", ""diplomat"", ""civil servant""]","
 Piero Vinci, an Italian diplomat who served as his country's delegate to the
 United Nations in the 1960's and 1970's, died of a heart attack Wednesday while
 vacationing in Ischia. He was 73 years old and lived in Rome.
 A frequent visitor to New York until his death, he also kept a residence in
 Southampton, L.I.
 Mr. Vinci played a role in the diplomatic maneuvering that led to the admission
 of mainland China to the world organization. He did so with an Italian
 resolution to explore the p"
Indobit-A-NYT1990_January to June_1001-1500-420.txt,"[""journalist"", ""non-fiction writer"", ""writer""]","
 Alan Schwarz, a retired Rutgers University law professor, died on Friday at his
 home in Talent, Ore. He was 58 years old and died of a heart attack, a
 university spokeswoman said.
 Mr. Schwarz, who was an expert on the relationship between church and state,
 joined the faculty at the Rutgers School of Law in Newark in 1974 after teaching
 at Ohio State University for nine years.
 Before joining Ohio State in 1965, he had practiced law in Manhattan. He retired
 in 1989.
 He received his law d"
Indobit-A-NYT2006_501-1000-304.txt,"[""manager"", ""screenwriter"", ""director"", ""artist"", ""writer"", ""actor""]"," LOCARNO, Switzerland, Aug. 7
 Daniel Schmid, one of Switzerland's best-known film and opera directors, died on
 Saturday in his hometown, Flims, in eastern Switzerland. He was 64.
 His death followed a battle with cancer, said Marcel Hoehn, a producer of Mr.
 Schmid's best-known film, ''Il Bacio di Tosca'' (1984), or ''Tosca's Kiss.''
 Mr. Schmid studied filmmaking at the German Film and Television Academy in
 Berlin, and began directing TV films in 1970.
 The first theatrical film he directed "
Indobit-A-NYT2010_501-1000-156.txt,"[""manager"", ""performer"", ""theatre director"", ""director"", ""television actor"", ""artist"", ""stage actor"", ""actor""]","
 Paul Ryan Rudd, an actor of the 1970s and '80s who came to his profession late
 and left it early but in between drew critical praise for his work on Broadway
 and in the New York Shakespeare Festival, died on Thursday at his home in
 Greenwich, Conn. He was 70.
 The cause was pancreatic cancer, his family said.
 Billed throughout his career simply as Paul Rudd, Mr. Rudd was no relation to
 the younger contemporary film actor of that name. His Broadway credits include
 the Gentleman Caller in "
Indobit-A-NYT1996_501-1000-245.txt,"[""actor"", ""artist"", ""television actor""]","
 Robert Emmett Ginna, a champion of nuclear power who helped build some of the
 first nuclear generating plants in the United States, died on Wednesday at St.
 Ann's Home in Rochester after a long illness. He was 94.
 Mr. Ginna (pronounced gun-NAY) was a native of Brooklyn who became a longtime
 official of the Rochester Gas and Electric Corporation and served as its chief
 executive for a decade.
 In 1954, he helped persuade the Government to modify the Atomic Energy Act to
 permit research in"
Indobit-A-NYT2017-April 1 - June 30-135.txt,"[""humanities scholar"", ""politician"", ""researcher"", ""academic"", ""faculty member"", ""historian"", ""teacher"", ""university teacher"", ""educator"", ""non-fiction writer"", ""scientist"", ""writer""]","
 LONDON -- Hugh Thomas, a British historian and associate of Prime Minister
 Margaret Thatcher whose magisterial work chronicled great upheaval in the
 Hispanic world, from Spain's imperial expansion to its civil war, died here on
 Sunday. He was 85.
 His son, Isambard, said the death was preceded by a stroke.
 Mr. Thomas produced a broad canon of work, including novels and studies of the
 American slave trade, the history of Mexico, disarmament (he had worked in the
 British Foreign Office as "
Indobit-A-NYT2015- April 1 - June 30-8.txt,"[""businessperson"", ""researcher"", ""entrepreneur"", ""physicist"", ""scientist""]","
 Klaus E. Tschira, whose pioneering role in the business software revolution made
 him one of Germany's richest men, died on Tuesday in Heidelberg. He was 74.
 His death was confirmed by Renate Ries, a spokeswoman for Klaus Tschira
 Stiftung, a foundation established by Mr. Tschira to support his philanthropic
 ventures. She did not specify the cause.
 In 1966, as a freshly minted physics graduate of the University of Karlsruhe,
 Mr. Tschira joined IBM, which at the time dominated the computer "
Indobit-A-NYT2014_501-1000-128.txt,"[""film actor"", ""performer"", ""dancer"", ""artist"", ""stage actor"", ""choreographer"", ""actor""]","
 Zohra Sehgal, a beloved Indian actress and dancer who continued making movies
 into her 90s, died on Thursday in New Delhi. She was 102.
 Her death was confirmed by her daughter, Kiran.
 Western audiences became familiar with Ms. Sehgal beginning in 1962, when she
 moved to England and appeared on television in several episodes of ''Doctor
 Who''; ''The Courtesans of Bombay,'' a Merchant Ivory docudrama directed by
 Ismail Merchant (1982); and the mini-series ''The Jewel in the Crown'' (1984)."
Indobit-A-NYT1985 - April 1 - June 30-88.txt,"[""designer""]","
 Rudi Gernreich, the country's leading avant-garde designer during the 1950's and
 60's, died of cancer yesterday at the Cedar Sinai Medical Center in Los Angeles.
 He was 62 years old and lived in Hollywood Hills, Calif.
 He used psychedelic colors before the word was coined. He showed miniskirts when
 many people associated the word with Minnie Mouse. In 1964, his topless bathing
 suit made his name a household word. Next to Christian Dior, his was probably
 the best-known name in fashion at "
Indobit-A-NYT1997 - April 1 - June 30-314.txt,"[""sport cyclist""]","
 Daniel A. Lehner, the flamboyant president of Inflight Newspapers, a
 multimillion-dollar corporation that distributes newspapers and magazines to
 airlines and hotels around the world, died of a heart attack on Tuesday while
 attending a concert at Radio City Music Hall. He was 49 and lived in Cedarhurst,
 N.Y.
 Mr. Lehner, along with his wife and others in the audience, was dancing in the
 aisle during a performance by Erasure, a pop group, and collapsed after
 returning to his seat. Michael"
Indobit-A-NYT1983 - July 1 - Sep 30-52.txt,"[""warrior"", ""bureaucrat"", ""military personnel"", ""official"", ""civil servant"", ""politician"", ""military officer""]","
 Edwin Denby, a poet and one of the most influential dance critics in America,
 committed suicide Tuesday night at his summer home in Searsport, Me. He was 80
 years old and had been in ill health for several years. His death was ruled a
 suicide by the Waldo County Medical Examiner's Office, which said the details
 were ''privileged information.''
 Mr. Denby, a resident of New York since the 1930's, considered himself a poet
 first and had published four books of poetry. But he achieved his gr"
Indobit-A-NYT2015- Jan 1 - March 31-142.txt,"[""ice hockey player""]","
 Vic Howe, the hockey star Gordie Howe's younger brother, who played in the
 N.H.L. with the Rangers, died on Saturday in Moncton, New Brunswick. He was 85.
 He had dementia and had suffered a heart attack, his sister Helen Cummine said.
 Vic Howe had three goals and four assists in 33 games with the Rangers in parts
 of three seasons from 1950 to 1955. He spent most of his career in minor leagues
 in North America and Europe.
 He was later a constable with the Canadian National Railway Police,"
Indobit-A-NYT1988_501-1000-28.txt,"[""researcher"", ""naturalist"", ""botanist"", ""biologist"", ""scientist""]","
 Norman T. Simpson, who wrote extensively on country inns, died of complications
 from the flu on April 5 at his home in Stockbridge, Mass. He was 69 years old.
 Mr. Simpson was the originator and author of the travel guide ''Country Inns and
 Back Roads,'' published in 1966 by his fledgling company, the Berkshire
 Traveller Press, and it became the forerunner of an entire cottage industry.
 With each new edition, the book grew in size and scope. Today it is published by
 Harper & Row and is on"
Indobit-A-NYT2006_1-500-359.txt,"[""coach"", ""basketball coach"", ""basketball player""]","
 Maggie Dixon, who coached the women's basketball team at Army to its first
 N.C.A.A. tournament last month, died Thursday at Westchester Medical Center in
 Valhalla, N.Y. She was 28.
 Dr. Millard J. Hyland, the Westchester County medical examiner, performed an
 autopsy yesterday and said afterward that the cause of death was, in part, an
 enlarged heart with a mitral valve that was not shutting properly.
 Jamie Dixon, Maggie's older brother and the men's basketball coach at
 Pittsburgh, said s"
Indobit-A-NYT2009 - Oct 1 - Dec 31-272.txt,"[""journalist"", ""non-fiction writer"", ""writer""]","
 Lester Rodney, who occupied an unlikely niche in journalism -- sports editor of
 the American Communist Party newspaper The Daily Worker -- and used that
 platform to wage an early battle against baseball's color barrier, died Sunday
 in Walnut Creek, Calif. He was 98.
 His death was announced by his family.
 Even in The Daily Worker's heyday, during the Depression, the working classes
 the newspaper championed were hardly lining up at newsstands for its box scores.
 But the paper, published i"
Indobit-A-NYT1983 - July 1 - Sep 30-26.txt,"[""poet"", ""writer""]","
 Ted Berrigan, a poet, died Monday at his home in Greenwich Village. He was 48
 years old. The cause of his death was not determined.  Mr. Berrigan was known as
 a second-generation member of the New York school of poets, along with such
 other writers as Ron Padgett and Joe Brainard. Along with Mr. Padgett, he
 published a small magazine, C, in the early 1960's. His first success was ''The
 Sonnets,'' published in the mid-1960's; it was recently re-issued.
 More than a dozen volumes of his poe"
Indobit-A-NYT1995 - May 1 - June 30-134.txt,"[""designer"", ""artist"", ""builder"", ""construction worker""]","
 Julian Hill Whittlesey, an architect who was concerned with large-scale housing
 projects and city planning for three decades and then went on to work as an
 archeologist in the 1960's, died on Saturday at his home in Wilton, Conn. He was
 89.
 First drawn to problems of providing housing to the expanding populations of big
 cities, he became a consultant to the Resettlement Administration in the 1930's
 and later the United States Public Housing Administration. With the outbreak of
 World War"
Indobit-A-NYT1988_1001-1500-87.txt,"[""vocal composer"", ""composer"", ""artist"", ""musician"", ""writer"", ""poet"", ""songwriter"", ""lyricist""]"," TULSA, Okla., Aug. 20
 Leon McAuliffe, one of the early members of Bob Wills's popular swing band the
 Texas Playboys, died today at a local hospital after a long illness. He was 71
 years old.
 Mr. McAuliffe played steel guitar with the Texas Playboys from 1935 to 1942 and
 then formed his own band after World War II. In recent years, he and other
 members of Mr. Wills's band occasionally played dance halls in the Southwest,
 reprising the songs that had made them famous.
 Among Mr. McAuliffe'"
Indobit-A-NYT1996_501-1000-73.txt,"[""actor"", ""artist"", ""choreographer"", ""film actor"", ""performer""]","
 Robert Anderson, a career Foreign Service officer best known as Henry A.
 Kissinger's spokesman on marathon diplomatic shuttles during the 1970's, died on
 April 5 at Fairfax Hospital in Virginia. He was 74 and lived in the Georgetown
 section of Washington.
 The cause was congestive heart failure, his family said.
 Mr. Anderson, who served as the United States Ambassador in three countries, was
 born in Boston and graduated from Yale University in 1944. After wartime service
 as a first lieut"
Indobit-A-NYT1988_501-1000-40.txt,"[""engineer""]","
 Hugh S. Knowles, an acoustical engineer, inventor and manufacturer in the
 hearing-aid field, died of cancer Thursday at his home in Oak Brook, Ill. He was
 83 years old.
 Mr. Knowles, the founder and chairman of Knowles Electronics Inc., developed and
 produced miniaturized electronic components for hearing aids. He was the holder
 of more than 50 patents in acoustics and related fields.
 In 1978 he became the first American to receive the Alexander Graham Bell Award,
 presented by the Hearin"
Indobit-A-NYT2017-April 1 - June 30-67.txt,"[""novelist"", ""writer""]","
 After her mother slipped into dementia in the late 1980s and died of
 complications of Alzheimer's disease in 1992 at 76, Trish Vradenburg and her
 husband, George, committed themselves to finding a remedy.
 They raised millions of dollars for research and eventually established their
 own organization, UsAgainstAlzheimer's, to galvanize their corporate and
 show-business connections into generating greater public awareness of the
 disease and advocating for more federal government investment "
Indobit-A-NYT1983 - Jan 1 - March 31-377.txt,"[""ice hockey player""]"," PITTSBURGH, March 15
 Aldege (Baz) Bastien, general manager of the Pittsburgh Penguins of the National
 Hockey League, died early today after his car collided with a motorcycle on a
 suburban highway. He was 62 years old.
 Mr. Bastien was returning home from a dinner sponsored by the Pittsburgh chapter
 of the Professional Hockey Writers Association when, the police said, the car he
 was driving collided with the rear of a motorcycle carrying two people. He was
 taken to Mercy Hospital, where h"
Indobit-A-NYT1993 - May 1 - June 30-390.txt,"[""singer"", ""artist"", ""vocalist"", ""musician"", ""opera singer""]","
 Boris Christoff, the Bulgarian bass whose performances as Boris Godunov
 virtually defined the role for several generations of singers and operagoers,
 died yesterday at his home in Rome. He was 79.
 The Associated Press reported the cause as the effects of a stroke he suffered
 six years ago.
 Mr. Christoff's insight into character and psychology made him one of the great
 acting singers of the century. His voice was commanding more for its eloquence
 and color than for its size; it was not e"
Indobit-A-NYT1999 - Oct 1 - Dec 31-225.txt,"[""performer"", ""music educator"", ""keyboardist"", ""researcher"", ""artist"", ""instrumentalist"", ""educationalist"", ""musician"", ""scientist""]","
 Gaby Casadesus, a pianist and teacher whose specialty was the 19th- and
 20th-century French piano repertory, and who often performed in a piano duo with
 her husband, Robert Casadesus, died on Nov. 12 at her home in Paris. She was 98.
 Mrs. Casadesus, whose name was originally Gaby L'Hote, was born in Marseilles in
 August 1901. She entered the Paris Conservatoire when she was 12, and became a
 student of Marguerite Long and Louis Diemer. She graduated from the
 Conservatoire with first prize"
