fn,firstSentence,confidence
Indobit-A-NYT1986_1001-1500-412.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-84.txt, a Republican political figure in Kansas
Indobit-A-NYT1994_1001-1500-286.txt, who for 25 years helped guide New Yorkers with problems through the labyrinth of municipal government at City Hall
Indobit-A-NYT2010_501-1000-180.txt," a songwriter who had a hand in some of the biggest hits of midcentury pop music, recorded by some of the biggest stars"
Indobit-A-NYT1987 - Sep 1 - Oct 31-128.txt, a former director of McKinsey & Company Management Consultants
Indobit-A-NYT1982_1-500-82.txt, who obtained a court ruling last week permitting disconnection of his hospital lifesupport systems
Indobit-A-NYT1990_January to June_501-1000-386.txt, a retired psychology professor at the University of New Hampshire
Indobit-A-NYT1996_1001-1500-253.txt," who persuaded his wife, Loretta, to give her first public performance and watched her go on to become one of country music's biggest stars"
Indobit-A-NYT1989 - March 1 - April 30-291.txt, a former Finance Minister of Brazil whose hard-line stance included suspending interest payments on most of Brazil's foreign debt
Indobit-A-NYT2001 - July 1 - Sep 30-221.txt," a singer whose recording of ""The Shoop Shoop Song (It's in His Kiss)"" made Billboard's Top 10 in 1964, was found dead on Sunday in her home here"
Indobit-A-NYT2006_1-500-249.txt, a philosopher regarded as a key figure in the development of the Rastafarian religion
Indobit-A-NYT2001 - Jan 1 - March 31-391.txt, named ambassador to Romania by President George Bush
Indobit-A-NYT1986_501-1000-308.txt, whose design of the swept wing for aircraft helped make supersonic flight possible
Indobit-A-NYT1994_1001-1500-260.txt, a writer of short stories and suspense novels
Indobit-A-NYT1981 - Oct 1 - Dec 31-195.txt, who was Attorney General in Sir Winston Churchill's Cabinet from 1951 to 1954
Indobit-A-NYT1994_1501-2000-258.txt, a longtime professor of anatomy and zoology who was Henry Willson Payne Professor of Anatomy at Case Western Reserve University in Cleveland
Indobit-A-NYT2001 - Oct 1 - Dec 31-8.txt, an executive at The New York Times Company for two decades
Indobit-A-NYT2002_1001-1513-251.txt," who made more than 30 horror and western films in the 1930's and 1940's and was known as one of Hollywood's top ""shrieking violets"
Indobit-A-NYT1999 - Jan 1 - March 31-279.txt," who engaged in philanthropy with her industrialist husband, Emmanuel"
Indobit-A-NYT1991 - Feb 1 - Feb 28-146.txt, whose travel guides have been carried by tourists to the far corners of the world for more than half a century
Indobit-A-NYT1991 - March 1 - March 31-106.txt, who helped to build one of the largest circus archives in the world
Indobit-A-NYT1991 - June 1 - June 30-29.txt, a professor emeritus of music education at Teachers College of Columbia University
Indobit-A-NYT1992_1-500-407.txt, a leading jazz bassist
Indobit-A-NYT1992_1-500-381.txt, the flamboyant Chief Minister of Sind Province and an archenemy of former Prime Minister Benazir Bhutto
Indobit-A-NYT1998_1501-1666-90.txt," an English composer whose score for the 1963 film ""Tom Jones"" won an Oscar and whose theme music for ""Murder She Wrote"" won an Emmy"
Indobit-A-NYT1991 - June 1 - June 30-220.txt, who was the third baseman for the 1935 World Series champion Detroit Tigers
Indobit-A-NYT1986_1-500-389.txt, a rhythm-and-blues singer and one of the siblings who as the Isley Brothers sold more than 12 million records with such hits as ''Twist and Shout'' and ''Love the One You're With
Indobit-A-NYT1992_2001-2402-143.txt, an aide to three Presidents on minority business development and an expert on Hispanic affairs
Indobit-A-NYT2006_1-500-405.txt, who wrote ''The Taking of Pelham One Two Three'' and many other detective and mystery novels under the pen name John Godey
Indobit-A-NYT1980_1-500-499.txt, a partly blind man who operated the newsstand in the State House here for 40 years until a rash of burglaries forced him to retire last month
Indobit-A-NYT1987 - Nov 1 - Dec 31-126.txt, a photographer known for his portraits of personalities in the cultural world
Indobit-A-NYT1996_1501-1947-377.txt, a bass who was heard regularly in character roles at the Metropolitan Opera for more than three decades
Indobit-A-NYT2001 - April 1 - June 30-191.txt, who became the Duke of Alba and who helped tear down the legacy of repressed intellectualism of Franco's long dictatorship in Spain
Indobit-A-NYT1995 - July 1 - Aug 31-108.txt," a silent-film star whose best-known role may have been that of the Gypsy dancing girl in the 1923 film ""The Hunchback of Notre Dame"
Indobit-A-NYT1984_501-1000-185.txt, a painter who founded a contemporary art museum in the provincial Spanish town of Cuenca
Indobit-A-NYT2001 - Jan 1 - March 31-214.txt," an atomic theorist who was a pioneer in the study of radiation's effects on matter, including living tissue"
Indobit-A-NYT1985 - Jan 1 - March 31-63.txt, an American Indian who sang on the Metropolitan Opera stage and on the battlefields of France in World War I
Indobit-A-NYT1988_1001-1500-244.txt, former head of the Vatican's Sacred Congregation for the Eastern Churches
Indobit-A-NYT1984_1001-1500-388.txt," chairman of the board of Jenkins Canada of Lachine, Quebec"
Indobit-A-NYT2001 - Jan 1 - March 31-254.txt,
Indobit-A-NYT1981 - April 1 - June 30-340.txt, professor emeritus of social science at the New York City Technical College of the City University of New York
Indobit-A-NYT1984_1-500-46.txt, Prime Minister Garret FitzGerald said Mr. MacEntee was the last link with the founding in 1921 of the Irish Free State
Indobit-A-NYT1988_1001-1500-317.txt, a retired professor of public administration at the Maxwell School of Syracuse University
Indobit-A-NYT1991 - March 1 - March 31-87.txt, a researcher in the field of drugs that affect the mind and the central nervous system
Indobit-A-NYT1988_1001-1500-228.txt, who was a United States Representative from Wisconsin for 20 years
Indobit-A-NYT1983 - Oct 1 - Dec 31-92.txt," wife of Richard J. Hughes former Governor and State Supreme Court Chief Justice in New Jersey, was eulogized today as a woman of compassion"
Indobit-A-NYT1989 - July 1 - Aug 31-54.txt, a Republican who served five terms in the House of Representatives
Indobit-A-NYT1985 - April 1 - June 30-277.txt, the voice of the Pittsburgh Pirates for nearly three decades and one of baseball's best-known play-by-play announcers
Indobit-A-NYT2009 - Oct 1 - Dec 31-212.txt, who toured with Hank Williams and was once billed as ''Radio's Tallest Singing Cowboy
Indobit-A-NYT1980_501-904-21.txt, former director of the Reference Department at the Library of Congress
Indobit-A-NYT1991 - Jan 1 - Jan 31-113.txt, who taught painting and drawing at the Cooper Union for the Advancement of Science and Art for 42 years
Indobit-A-NYT1982_501-1000-419.txt, former Ambassador to the United States and to the Soviet Union
Indobit-A-NYT1990_January to June_1-500-12.txt, a Jewish scholar credited with establishing the authenticity and age of the Dead Sea Scrolls
Indobit-A-NYT1981 - July 1 - Sep 30-263.txt,
Indobit-A-NYT1990_July to December_1-500-19.txt," a philanthropist who produced variety shows, circuses, carnivals and athletic events to benefit charitable organizations in Queens"
Indobit-A-NYT1990_January to June_1001-1500-485.txt, a retired professor of English and former director of the Robert Frost Library at Amherst College
Indobit-A-NYT1993 - Jan 1 - Feb 28-306.txt, who wrote novels for young readers
Indobit-A-NYT1996_501-1000-149.txt, the wife of President Suharto of Indonesia
Indobit-A-NYT2000_501-1000-343.txt, the winner of Nascar's first strictly stock car race in 1949
Indobit-A-NYT1986_1-500-198.txt, a former partner in the New York law firm of Debevoise & Plimpton
Indobit-A-NYT2003 - Oct 1 - Dec 31-195.txt, a civil engineering professor at the University of California at Berkeley who influenced the construction of more than a thousand bridges
Indobit-A-NYT1996_1501-1947-26.txt, an educator and researcher in optics and optometry
Indobit-A-NYT1986_501-1000-312.txt, a sharecropper's son whose attempt to vote in a Democratic primary 42 years ago led to a lawsuit opening all Georgia primaries to blacks
Indobit-A-NYT1993 - Sep 1 - Oct 31-214.txt, a Paris couturier who had worked in New York and was known for popular and reasonably priced designs
Indobit-A-NYT1985 - Jan 1 - March 31-12.txt, one of the first Surrealist photographers in the country and a writer of poetic essays
Indobit-A-NYT1989 - July 1 - Aug 31-123.txt, who shot down 21 enemy planes as a United States fighter ace in World War II and the Korean War
Indobit-A-NYT2012_1-500-342.txt," Fla. (AP) -- Dwayne Schintzius, a former University of Florida basketball star who also played eight seasons in the National Basketball Association"
Indobit-A-NYT2016_501-1000-140.txt, who punted for the Jets in their Super Bowl victory over the heavily favored Baltimore Colts in 1969
Indobit-A-NYT1986_1-500-136.txt, who spent 10 years helping his father etch Presidential portraits into Mount Rushmore in South Dakota
Indobit-A-NYT2003 - Jan 1 - March 31-324.txt, a former death-row inmate whose exoneration became a rallying cry for opponents of the death penalty in Illinois
Indobit-A-NYT1980_501-904-37.txt, former counsel with General Motors
Indobit-A-NYT1991 - Nov 1 - Dec 31-70.txt, a senior counsel at the Manhattan law firm of Cahill Gordon & Reindel
Indobit-A-NYT2015- April 1 - June 30-58.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-401.txt, who wrote comedies for the Yiddish- and English-speaking theaters and for radio
Indobit-A-NYT2003 - July 1 - Sep 30-33.txt, a pioneer in land conservation and the co-founder of one of the country's first organic dairy farms
Indobit-A-NYT2002_1-500-139.txt," a filmmaker who won an Academy Award in 1963 for ""The Critic,"" a short animated satire about modern art"
Indobit-A-NYT1985 - April 1 - June 30-306.txt, a Minister of State in the West German Foreign Ministry who favored close relations with the United States
Indobit-A-NYT1994_1-500-458.txt," who ran his family's restaurant, Gargiulo's, on Coney Island for more than 50 years"
Indobit-A-NYT1989 - March 1 - April 30-37.txt, an educator and pioneer in tumor pathology and classification
Indobit-A-NYT1989 - Jan 1 - Feb 28-110.txt, a researcher who helped establish the link between smoking and lung cancer
Indobit-A-NYT2016_501-1000-372.txt," who for three decades challenged New York magazine readers to compose double dactyls, literary limericks, godawful puns and dexterous spoonerisms in a weekly competition that foreshadowed hashtag games on Twitter"
Indobit-A-NYT2014_501-1000-474.txt," a celebrity of flamenco guitar who sold millions of records, befriended Salvador Dal and Brigitte Bardot, performed for raucous crowds at Carnegie Hall, made and spent fortunes and generally lived a life of fulfilled appetites, all after growing up poor and illiterate"
Indobit-A-NYT1985 - Oct 1 - Dec 31-243.txt," chairman of the New York Land Company, which converted the Korvettes store at Herald Square into the new Herald Center"
Indobit-A-NYT1997 - July 1 - Sep 30-342.txt," a close associate of Charles de Gaulle and the man most credited with defeating the O.A.S., the violent faction that opposed Algerian independence from France"
Indobit-A-NYT1992_1-500-486.txt, a French and Russian teacher for 50 years and founding chairman of the Slavic Department at the State University of New York at Albany
Indobit-A-NYT2003 - Jan 1 - March 31-59.txt, whose vast collection of Middle Eastern artifacts formed the bulk of the Bible Lands Museum here
Indobit-A-NYT2002_1-500-129.txt," a photographer who brought a whimsical, lyrical touch to her images from travelogues to reportage to portraits"
Indobit-A-NYT1993 - July 1 - Aug 31-15.txt, the former organized crime boss who turned Government witness
Indobit-A-NYT1992_1-500-71.txt," a former United States Ambassador to Nicaragua, Paraguay, Venezuela and Turkey"
Indobit-A-NYT1987 - Nov 1 - Dec 31-54.txt, associate executive vice chairman of the United Israel Appeal
Indobit-A-NYT2000_1-500-89.txt," widow of the jazz saxophonist Charlie (Bird) Parker, who used his memory to fight drug addiction"
Indobit-A-NYT1994_1-500-177.txt, one of the BBC's best-known radio announcers
Indobit-A-NYT2010_1001-1202-51.txt, a cloud of dust and a hearty Hi-Yo
Indobit-A-NYT1995 - March 1 - April 30-125.txt, a philanthropist and socialite who persuaded her husband to found the Kansas City Royals baseball team
Indobit-A-NYT2011-July 1 - Sep 30-163.txt, who received the Medal of Honor for single-handedly preventing 200 German soldiers from attacking an American battalion while leading a scouting mission in France during World War II
Indobit-A-NYT1992_501-1000-40.txt," who wrote the screenplays for ""Anatomy of a Murder"" and ""Advise and Consent"
Indobit-A-NYT1984_1001-1500-459.txt, an all-America fullback at the University of Minnesota who went on to play for the Green Bay Packers
Indobit-A-NYT1987 - April 1 - June 30-10.txt, one of the famed Four Musketeers of French tennis
Indobit-A-NYT2000_501-1000-31.txt, a composer who worked in films and television
Indobit-A-NYT1982_1-500-89.txt, who served 26 years as a Representative from Oklahoma
Indobit-A-NYT1992_1001-1500-21.txt," a tenor who performed opera, musical theater and cabaret music and also taught"
Indobit-A-NYT2009 - April 1 - June 30-265.txt,
Indobit-A-NYT2005 - Jan 1 - March 31-110.txt,
Indobit-A-NYT1993 - Nov 1 - Dec 31-206.txt, a retired professor of European history at Boston University
Indobit-A-NYT2010_1-500-216.txt,
Indobit-A-NYT1995 - Nov 1 - Dec 31-120.txt, a composer of music for the theater
Indobit-A-NYT1989 - July 1 - Aug 31-100.txt, a French Resistance hero who was once smuggled out of the country in a mailbag to escape the Nazis
Indobit-A-NYT1993 - May 1 - June 30-139.txt, a microbiologist at Pennsylvania State University who conducted research into a bacterium that causes infections in hospital patients
Indobit-A-NYT1993 - July 1 - Aug 31-95.txt, a German tenor who specialized in Wagnerian roles during a long career at the Munich Opera
Indobit-A-NYT2001 - Jan 1 - March 31-256.txt," who wrote scripts for ""I Love Lucy,"" ""Maude,"" ""All in the Family"" and several other hit television comedies"
Indobit-A-NYT1983 - Oct 1 - Dec 31-254.txt, who appeared in leading roles on the New York stage and in Hollywood and television films
Indobit-A-NYT1995 - Sep 1 - Oct 31-83.txt, a prominent figure in left-wing politics in the 1940's and 1950's whose arrest for Communist activities led to a landmark decision by the United States Supreme Court
Indobit-A-NYT1994_1-500-101.txt, national communications director for the Screen Actors Guild
Indobit-A-NYT1999 - Oct 1 - Dec 31-149.txt, who has been called the West Coast king of union-side labor law
Indobit-A-NYT1991 - May 1 - May 31-24.txt," who headed his family's publishing company, Editions Gallimard, until 1988"
Indobit-A-NYT2016_1-500-416.txt,
Indobit-A-NYT2002_501-1000-282.txt, who in almost a half-century as a sports executive worked for some of the most famous owners in sports
Indobit-A-NYT1993 - Jan 1 - Feb 28-214.txt," the widow of Peter II, whose reign as the last King of Yugoslavia was ended in 1941 by invading German troops"
Indobit-A-NYT1983 - Oct 1 - Dec 31-363.txt, a professor of chemistry at Columbia University and coordinator of its general chemistry course
Indobit-A-NYT1989 - Nov 1 - Dec 31-73.txt, a director of community and consumer affairs for Atlanta and a veteran of civil rights campaigns
Indobit-A-NYT1995 - Nov 1 - Dec 31-124.txt, the wife of former Mayor Abraham D. Beame
Indobit-A-NYT2003 - April 1 - June 30-165.txt, a Detroit native who made his debut with the Tigers as a teenager and pitched 12 seasons in the major leagues
Indobit-A-NYT2001 - July 1 - Sep 30-160.txt, who won a Pulitzer Prize for her coverage of the corrupt Parr political dynasty in Duval County in the 1950's
Indobit-A-NYT2001 - Jan 1 - March 31-300.txt," an English painter known for his bright, fantastical figurative painting"
Indobit-A-NYT2008_1-500-178.txt," widely known as Aunty Genoa, one of the most enduring and beloved voices in Hawaiian music"
Indobit-A-NYT1992_2001-2402-231.txt," the former Mayor of Nyack, who was credited with revitalizing the Rockland County village to attract new residents and businesses"
Indobit-A-NYT1999 - Jan 1 - March 31-284.txt, a pioneer in speech research whose work was later applied to computerized speech synthesis
Indobit-A-NYT1989 - July 1 - Aug 31-332.txt," a retired partner in the investment banking concern of White, Weld & Company"
Indobit-A-NYT1993 - July 1 - Aug 31-317.txt, who gained fame after picking up $1.2 million that tumbled from an armored car in 1981
Indobit-A-NYT1992_501-1000-51.txt, who founded the chain of Bob's Big Boy restaurants
Indobit-A-NYT2001 - Jan 1 - March 31-212.txt," a singer who is credited with writing ""Malaika,"" a ballad now known around the world"
Indobit-A-NYT2007 - Jan 1 - March 31-2.txt, an influential and publicity-shy country songwriter who composed Elvis Presley's soulful 1972 hit ''Burning Love'' and the Dixie Chicks' mordantly humorous 1999 anthem ''Goodbye Earl
Indobit-A-NYT1992_2001-2402-201.txt, the eldest of three hemophiliac brothers barred from school because they carried the virus that causes AIDS
Indobit-A-NYT1980_1-500-86.txt, a star linebacker at Tulane University and the New York Giants
Indobit-A-NYT1987 - July 1 - Aug 31-282.txt, whose work kept thousands of children out of trouble and inspired a television movie about her life
Indobit-A-NYT1983 - Oct 1 - Dec 31-374.txt, whose memoir of her experiences singing in the inmate orchestra at Auschwitz was made into a controversial television movie
Indobit-A-NYT1984_1001-1500-450.txt,
Indobit-A-NYT2006_501-1000-57.txt," whose charm won the trust of jet-setters and movie stars and whose cameras captured fleeting, golden images as his favorites subjects played and preened in a privacy almost unimaginable today"
Indobit-A-NYT1989 - Jan 1 - Feb 28-32.txt," chairman of the Times Journal Company, which publishes several weekly newspapers serving members of the armed forces worldwide and a number of suburban newspapers in the vicinity of Washington and San Diego"
Indobit-A-NYT1994_1001-1500-289.txt, who built and lost a multimillion-dollar sparkling wine business and then spent his last years virtually indigent
Indobit-A-NYT1990_July to December_1001-1500-62.txt," a former chairman of Associated Food Stores, a buying cooperative of grocery owners"
Indobit-A-NYT1991 - Feb 1 - Feb 28-18.txt, a former pathologist-in-chief at the New York Hospital-Cornell Medical Center
Indobit-A-NYT1999 - Oct 1 - Dec 31-91.txt, a photographer who became an American folk art expert and dealer
Indobit-A-NYT2002_1001-1513-60.txt, a painter of colorful figurative and abstract paintings for more than 80 years
Indobit-A-NYT1984_501-1000-357.txt," the philanthropist who, with his wife, gave millions to Lincoln Center"
Indobit-A-NYT1990_July to December_1-500-168.txt, a film and television director
Indobit-A-NYT1999 - July 1 - Sep 30-361.txt, a retired Bishop of the Orthodox Church in America who was known for the broadcasts on religious topics that he made from Britain and the United States to what is now Russia for more than three decades
Indobit-A-NYT2004_501-1000-351.txt, who as co-chairman of Eurotunnel was a driving force behind the building of a rail tunnel beneath the English Channel
Indobit-A-NYT1994_1-500-385.txt," a businessman who owned warehouses, factories and other industrial buildings and was chairman of Sattler's department stores"
Indobit-A-NYT2003 - July 1 - Sep 30-162.txt," whose eight-year reign of terror in Uganda encompassed widespread killing, torture and dispossession of multitudes and left the country pauperized"
Indobit-A-NYT1982_1001-1500-139.txt," a retired partner in the Wall Street law firm of Cravath, Swaine & Moore"
Indobit-A-NYT2001 - July 1 - Sep 30-179.txt, whose heart was cut out to remove a cancer and then restored to her body in an extraordinary operation that drew widespread attention last November
Indobit-A-NYT2008_501-1000-240.txt, a two-time National Basketball Association All-Star who played most of his career for the Portland Trail Blazers
Indobit-A-NYT1986_1001-1500-475.txt," Eric Sorey of Campbellton, Fla."
Indobit-A-NYT2015- July 1 - Sep 30-288.txt, a Polish director whose horror movie ''Demon'' had its world premiere last week in Toronto
Indobit-A-NYT1981 - July 1 - Sep 30-39.txt,
Indobit-A-NYT1983 - April 1 - June 30-161.txt, a former Prime Minister of Siam who led the pro-Allied underground movement in World War II in what is now Thailand
Indobit-A-NYT2002_501-1000-349.txt," co-artistic director of the Belleayre Music Festival in Highmount, N.Y., for the last nine years"
Indobit-A-NYT1994_1501-2000-61.txt, who headed the Anglican Church in southern Africa from 1974 to 1981
Indobit-A-NYT1998_1001-1500-215.txt, the oldest surviving Olympic gold medalist in track and field in the United States
Indobit-A-NYT1991 - April 1 - April 30-78.txt, a former Massachusetts Health Commissioner
Indobit-A-NYT1990_July to December_1001-1500-398.txt, general counsel of Yeshiva University for more than three decades
Indobit-A-NYT1993 - Jan 1 - Feb 28-45.txt, a professor emeritus of anthropology at Yale University
Indobit-A-NYT2005 - April 1 - June 30-69.txt, best known for his 1960's hit ''Judy in Disguise (With Glasses)
Indobit-A-NYT2007 - Jan 1 - March 31-246.txt," a singer, songwriter and guitarist who was an important figure in the folk music renaissance of the 1960s"
Indobit-A-NYT1992_1501-2000-380.txt, the former Latin Patriarch of Jerusalem
Indobit-A-NYT1986_501-1000-217.txt, who was associate defense counsel for 12 Germans tried after World War II for war crimes
Indobit-A-NYT1989 - Nov 1 - Dec 31-118.txt, a former South Korean Foreign Minister and Ambassador to Bonn who moved to North Korea after becoming affiliated with a dissident group that supports the Communist Government
Indobit-A-NYT1990_January to June_1001-1500-102.txt, who coached football at Boys High School in Brooklyn from 1923 to 1958
Indobit-A-NYT1998_1-500-149.txt, a Democratic State Senator from the North Bronx in the 1960's
Indobit-A-NYT1990_January to June_1-500-52.txt, who apparently was the nation's oldest active stockbroker
Indobit-A-NYT1994_1-500-257.txt," a partner in the Manhattan law firm of Skadden, Arps, Slate, Meagher & Flom"
Indobit-A-NYT1988_1001-1500-318.txt, the only inmate not killed or executed after a 1946 escape attempt from Alcatraz
Indobit-A-NYT2003 - Jan 1 - March 31-331.txt," a co-designer of Zoltan the Astrological Wizard, a mechanical fortunetelling machine popular in penny arcades"
Indobit-A-NYT1980_1-500-25.txt," the Brooklyn-reared Bohemian writer whose bawdy, widely acclaimed 1934 novel, ''Tropic of Cancer,'' was banned in the United States until 1964"
Indobit-A-NYT2005 - July 1 - Sep 30-229.txt," a chemist who helped discover promethium, No.61 in the periodic table and one of several elements isolated during work on the Manhattan Project"
Indobit-A-NYT2016_1001-1855-125.txt," an engineer whose company designed the acoustics for the United Nations and concert halls at Lincoln Center and Tanglewood, then built the direct precursor to the internet under contract to the Defense Department"
Indobit-A-NYT1995 - Sep 1 - Oct 31-96.txt," the mother of Patrick J. Buchanan, the Republican Presidential candidate"
Indobit-A-NYT2005 - Oct 1 - Dec 31-217.txt, a partner in the law firm of Sonnenschein Nath & Rosenthal and its first chairman
Indobit-A-NYT1993 - Sep 1 - Oct 31-354.txt, who performed the first heart transplant in South America
Indobit-A-NYT1991 - March 1 - March 31-252.txt, former director of health education for the New York Tuberculosis and Health Association
Indobit-A-NYT1989 - May 1 - June 30-151.txt, whose father was Babe Ruth but who did not learn the identity of her natural mother until she was 59 years old
Indobit-A-NYT2007 - April 1 - June 30-233.txt," whose inventive work on philosophy, politics, literary theory and more made him one of the world's most influential contemporary thinkers"
Indobit-A-NYT2002_501-1000-218.txt, mentor to the kung fu film star Bruce Lee and the action director John Woo
Indobit-A-NYT1985 - July 1 - Sep 30-167.txt, a one-time political ally and confidante of Representative Adam Clayton Powell
Indobit-A-NYT1993 - Sep 1 - Oct 31-218.txt, whose paralysis after a crib accident when he was 23 months old led to tougher crib-safety standards
Indobit-A-NYT2003 - April 1 - June 30-37.txt, a composer who fused Japanese and Western styles
Indobit-A-NYT1988_1-500-100.txt, a scholar in physiology and anthropology who was a leading authority on the culture and history of the Navajo Indians
Indobit-A-NYT1990_July to December_1001-1500-287.txt, a retired stockbroker
Indobit-A-NYT1986_1001-1500-67.txt, professor emeritus of marketing at Baruch College
Indobit-A-NYT1988_1501-1774-177.txt," a singer with the Persuasions, an a cappella group"
Indobit-A-NYT1990_January to June_501-1000-464.txt, who operated souvenir and food concessions at the Statue of Liberty for more than half a century
Indobit-A-NYT1994_501-1000-195.txt, who figured in the crisis that ended the Ceausescu dictatorship in 1989
Indobit-A-NYT1983 - April 1 - June 30-273.txt, the co-owner of Goldworm Sportswear in Manhattan and the recipient of many fashion awards
Indobit-A-NYT1988_1001-1500-457.txt," a history professor who assembled a collection of Abraham Lincoln's possessions, letters and manuscripts while directing the Louis A. Warren Lincoln Library and Museum here"
Indobit-A-NYT1993 - May 1 - June 30-188.txt, a New York public-relations executive
Indobit-A-NYT1984_501-1000-39.txt, who played the Lone Ranger when that radio drama began in Buffalo in the early 1930's
Indobit-A-NYT1993 - July 1 - Aug 31-328.txt, who planned the funeral of Sir Winston Churchill and the investiture of the Prince of Wales
Indobit-A-NYT2011-April 1 - June 30-7.txt," whose 1989 book, ''Maternal Thinking: Toward a Politics of Peace,'' laid the groundwork for a feminist approach to understanding and analyzing the practices and intellectual disciplines involved in rearing children"
Indobit-A-NYT1995 - July 1 - Aug 31-284.txt, who was known as the king of Detroit's morning drive-time radio for three decades and whose broadcasts were heard in much of North America
Indobit-A-NYT1989 - Nov 1 - Dec 31-264.txt, who played Aunt Bee on ''The Andy Griffith Show'' on television in the 1960's
Indobit-A-NYT1993 - March 1 - April 30-100.txt," who created the television series ""December Bride"" and wrote and directed ""My Friend Irma"" on radio"
Indobit-A-NYT1995 - Jan 1 - Feb 28-362.txt, senior director of advertising for National Football League publications
Indobit-A-NYT1989 - Nov 1 - Dec 31-234.txt, who helped develop the synthetic molding clay Play-Doh
Indobit-A-NYT1981 - Jan 1 - March 31-47.txt, the first nun in the United States admitted to practice law before the United States Supreme Court
Indobit-A-NYT1988_1501-1774-241.txt, a professor emeritus of art history at Cornell University
Indobit-A-NYT1990_July to December_1-500-70.txt, the first black fighter to win a British boxing title
Indobit-A-NYT2002_1-500-339.txt, who shared the 1984 Nobel Prize in Medicine for a revolutionary technique to produce antibodies that latch onto specific proteins
Indobit-A-NYT1994_1501-2000-168.txt, an important saxophonist and clarinetist who was one of the last of the living members of the 'Bama State Collegians
Indobit-A-NYT1989 - Jan 1 - Feb 28-64.txt, a retired professor of economics at Georgetown University and a Slovenian nationalist who vigorously opposed the postwar Communist regime in Yugoslavia
Indobit-A-NYT1983 - July 1 - Sep 30-96.txt," professor emeritus of history at Upsala College in East Orange, N.J., and a scholar of Napoleonic history"
Indobit-A-NYT1993 - March 1 - April 30-122.txt, a figurative expressionist painter
Indobit-A-NYT1989 - Sep 1 - Oct 31-208.txt, a professor of human development at the College of Education at the University of Maryland at College Park until her retirement last year
Indobit-A-NYT2003 - April 1 - June 30-329.txt, who pitched for the Newark Eagles of the Negro leagues during the late 1930's and 1940's
Indobit-A-NYT1993 - July 1 - Aug 31-164.txt, who won 123 of his 151 professional bouts and held the world welterweight title briefly 60 years ago
Indobit-A-NYT1989 - Nov 1 - Dec 31-74.txt, executive director of the Association for the Integration of Management
Indobit-A-NYT2001 - April 1 - June 30-52.txt, who used the skills she honed as a mother of 10 to organize a national parents' support group and write a popular book on how to be a good parent
Indobit-A-NYT1982_1-500-255.txt, a retired professor of neurology at Columbia University's College of Physicians and Surgeons
Indobit-A-NYT1984_501-1000-201.txt,
Indobit-A-NYT2016_1-500-298.txt, who made her eye-catching Hollywood debut without saying a word and played a real-life bridesmaid at the fairy-tale wedding of her former roommate Grace Kelly
Indobit-A-NYT1990_January to June_1-500-166.txt, a business executive
Indobit-A-NYT1986_1001-1500-237.txt, Frances DeJur Professor and chairman of the department of ophthalmology at Montefiore Medical Center and Albert Einstein College of Medicine
Indobit-A-NYT2001 - April 1 - June 30-204.txt," who performed with Katherine Dunham in her first company, the Negro Dance Group, in the mid-1930's"
Indobit-A-NYT1987 - April 1 - June 30-178.txt, a professor of architecture at the University of California at Berkeley who was known for her work in hospital design
Indobit-A-NYT1989 - Sep 1 - Oct 31-121.txt, an engineer who developed television transmission and helped to establish Chicago's first television station
Indobit-A-NYT1986_1001-1500-15.txt, the French war photographer
Indobit-A-NYT1987 - Jan 1 - March 31-350.txt, an American soprano
Indobit-A-NYT1981 - Jan 1 - March 31-38.txt," a former partner of the New York law firm of Chadbourne, Parke, Whiteside & Wolf, which he joined in 1929"
Indobit-A-NYT1998_1501-1666-13.txt, an explorer known as the lone wolf of the Arctic who followed his dog sled and camped in igloos to map desolate reaches of the far north of Canada
Indobit-A-NYT1994_501-1000-260.txt," an Irish tenor who sang on the ""Voice of Firestone"" shows on radio and television"
Indobit-A-NYT2003 - Oct 1 - Dec 31-242.txt, who directed scores of popular television shows in a long and prolific career
Indobit-A-NYT2004_1-500-2.txt, a matriarch of gospel music whose influence ranged far beyond its traditional audience
Indobit-A-NYT1981 - Jan 1 - March 31-145.txt, a retired assistant general foreman of the composing room of The New York Times
Indobit-A-NYT1998_1-500-412.txt, the five-term Republican Congressman from New Mexico who helped research the ethics case against Speaker Newt Gingrich
Indobit-A-NYT1993 - May 1 - June 30-127.txt, a painter and film maker best known for his portraits of French literary figures including Jean-Paul Sartre and Andre Breton
Indobit-A-NYT1981 - July 1 - Sep 30-202.txt, former director of publications and literature for the United Church of Christ
Indobit-A-NYT2002_1001-1513-332.txt, whose pained account of her life as an Army nurse in Vietnam focused attention on the burdens of American servicewomen in the war
Indobit-A-NYT1982_1501-1630-17.txt, director of advertising marketing for the American Telephone and Telegraph Company
Indobit-A-NYT1991 - Jan 1 - Jan 31-73.txt, a senior partner in the New York law firm of Satterlee Stephens Burke & Burke
Indobit-A-NYT1989 - March 1 - April 30-50.txt,
Indobit-A-NYT1993 - Sep 1 - Oct 31-50.txt," N.Y., a Renaissance scholar who started the program of comparative literature at New York University in 1965 and headed it until 1978"
Indobit-A-NYT1998_1501-1666-3.txt, a Mississippi bluesman who was dedicated to reviving early Delta blues
Indobit-A-NYT1990_January to June_501-1000-393.txt, who set a world record in the discus throw in 1953 and represented the United States three times in the Olympic Games
