c,p,r,rev,y
Armstrong Holdings,11.9,144.0,217.6,1961
American Viscose,10.5,145.0,217.2,1961
USG,32.4,146.0,217.0,1961
GenCorp,4.5,147.0,217.0,1961
Anheuser-Busch,12.8,148.0,215.9,1961
"Libby, McNeill & Libby",4.2,149.0,215.4,1961
Continental Baking,5.7,150.0,212.5,1961
Kaiser Industries,-35.5,151.0,212.4,1961
Aeroquip-Vickers,24.0,152.0,212.3,1961
Skelly Oil,29.5,153.0,211.1,1961
Glidden,7.1,154.0,209.1,1961
Archer Daniels Midland,5.0,155.0,207.7,1961
Motorola,7.6,156.0,205.2,1961
Wyeth,16.2,157.0,203.1,1961
International Packers,0.4,158.0,202.5,1961
Johnson & Johnson,9.5,159.0,200.9,1961
Quantum Chemical,13.7,160.0,200.1,1961
St. Regis,14.9,161.0,200.1,1961
Electric Autolite,0.7,162.0,198.5,1961
Arden Farms,1.9,163.0,195.1,1961
Bestfoods,15.8,164.0,194.7,1961
Revere Copper & Brass,10.3,165.0,193.3,1961
Hearst Consolidated Publications,-0.3,166.0,190.9,1961
Wheeling Pittsburgh,9.6,167.0,187.6,1961
Koppers,6.1,168.0,187.6,1961
Hercules,14.1,169.0,187.5,1961
Alco Products,4.6,170.0,187.2,1961
Container Corp. of America,13.6,171.0,186.6,1961
M. Lowenstein,6.8,172.0,186.0,1961
Bell Intercontinental,6.4,173.0,185.6,1961
Continental Motors,4.5,174.0,182.1,1961
Cannon Mills,9.1,175.0,180.2,1961
Pet,8.1,176.0,178.2,1961
Kimberly-Clark,11.1,177.0,177.3,1961
Raytheon,3.5,178.0,177.1,1961
Dart Industries,3.3,179.0,176.1,1961
Wesson Oil & Snowdrift,6.7,180.0,175.5,1961
Curtis Publishing,4.5,181.0,173.4,1961
Schenley Industries,3.8,182.0,172.0,1961
Northrop Grumman,3.8,183.0,171.4,1961
Allegheny International,4.2,184.0,169.6,1961
Whirlpool,9.2,185.0,169.5,1961
Kellogg,12.7,186.0,169.5,1961
Unisys,7.8,187.0,169.1,1961
Walter Industries,2.6,188.0,167.2,1961
Eaton,8.6,189.0,165.2,1961
Westvaco,13.1,190.0,164.8,1961
Sterling Drug,13.1,191.0,164.3,1961
Mid-Continent Petroleum,13.5,192.0,164.2,1961
Rheem Manufacturing,6.0,193.0,163.6,1961
Gillette,26.1,194.0,162.2,1961
Crucible Steel,3.7,195.0,160.6,1961
Brink's,2.0,196.0,159.7,1961
Hershey Foods,7.1,197.0,159.4,1961
General American Transportation,11.4,198.0,156.2,1961
Baldwin-Lima-Hamilton,4.1,199.0,155.2,1961
Dana,12.3,200.0,153.5,1961
Central Soya,3.9,201.0,153.1,1961
Carrier,6.9,202.0,151.4,1961
Grinnell,8.0,203.0,150.9,1961
Combustion Engineering,6.6,204.0,150.5,1961
Genesco,4.8,205.0,150.1,1961
Chance Vought,6.6,206.0,149.6,1961
Newport News Shipbuilding,7.2,207.0,149.5,1961
Consolidation Coal,12.1,208.0,149.2,1961
Corning,17.5,209.0,147.9,1961
Celanese,6.6,210.0,147.6,1961
Fruehauf,4.5,211.0,146.3,1961
Merck,12.6,212.0,145.5,1961
White Motor,4.9,213.0,145.5,1961
International Cellucotton Products,7.4,214.0,145.4,1961
Pfizer,15.2,215.0,145.2,1961
Pabst Brewing,2.1,216.0,145.0,1961
Staley Continental,5.3,217.0,144.9,1961
Altria Group,11.4,218.0,142.8,1961
National Sugar Refining,2.3,219.0,140.7,1961
Cone Mills,2.6,220.0,140.7,1961
Fairchild Engine & Airplane,4.1,221.0,140.4,1961
Simmons,5.4,222.0,139.1,1961
Brown Shoe,4.8,223.0,138.9,1961
Zenith Electronics,5.7,224.0,138.6,1961
Foster Wheeler,3.6,225.0,138.6,1961
Studebaker-Worthington,6.9,226.0,138.3,1961
Owens Corning,8.4,227.0,136.5,1961
Timken,10.7,228.0,135.6,1961
Norton,N.A.,229.0,135.0,1961
American Bakeries,4.4,230.0,134.8,1961
Campbell Taggart,4.3,231.0,133.9,1961
Endicott Johnson,2.1,232.0,133.3,1961
McGraw-Edison,9.4,233.0,132.8,1961
Rohm & Haas,12.4,234.0,132.6,1961
Lorillard,6.3,235.0,131.5,1961
Ingersoll-Rand,23.0,236.0,130.3,1961
Dresser Industries,7.4,237.0,130.2,1961
Kaiser Steel,7.9,238.0,128.5,1961
Cletrac,3.7,239.0,128.3,1961
Champion Papers,9.5,240.0,128.0,1961
National Gypsum,13.1,241.0,126.6,1961
AMF,4.0,242.0,126.5,1961
Clinton Foods,3.9,243.0,125.7,1961
Sunray Oil,23.2,244.0,125.2,1961
Eastern Gas & Fuel Associates,2.8,245.0,124.6,1961
Champion International,4.7,246.0,124.1,1961
Pittsburgh Steel,2.2,247.0,124.0,1961
Tecumseh Products,5.7,248.0,124.0,1961
Kelsey-Hayes,5.5,249.0,123.8,1961
General Precision Equipment,5.5,250.0,123.3,1961
BOC,6.3,251.0,123.3,1961
McDonnell Douglas,3.6,252.0,123.1,1961
Eli Lilly,11.3,253.0,122.3,1961
General Host,2.2,254.0,122.1,1961
Stokely-Van Camp,3.0,255.0,121.7,1961
Westinghouse Air Brake,7.8,256.0,121.5,1961
American-Marietta,5.5,257.0,120.7,1961
Mack Trucks,1.3,258.0,120.3,1961
Sunshine Biscuits,6.0,259.0,119.2,1961
Marathon,7.5,260.0,117.8,1961
Keebler,1.9,261.0,117.2,1961
Gair (Robert),5.1,262.0,116.4,1961
Bemis,1.3,263.0,115.8,1961
Seeger Refrigerator,6.0,264.0,112.6,1961
Murray Corp.,5.8,265.0,112.5,1961
Warren Petroleum,8.9,266.0,112.4,1961
Mead,5.8,267.0,111.8,1961
Crown Holdings,1.4,268.0,111.4,1961
Link-Belt,5.4,269.0,111.2,1961
Scovill,4.4,270.0,111.0,1961
Cincinnati Milacron,9.3,271.0,110.5,1961
"Parke, Davis",10.5,272.0,109.9,1961
Abex,4.3,273.0,109.9,1961
Budd,9.6,274.0,109.5,1961
Anaconda Wire & Cable,4.7,275.0,108.7,1961
"Fairbanks, Morse",2.5,276.0,108.0,1961
CVS,6.0,277.0,107.9,1961
Allied Mills,3.2,278.0,106.7,1961
Bridgeport Brass,5.1,279.0,106.0,1961
Spencer Kellogg & Sons,2.6,280.0,105.7,1961
Union Camp,10.8,281.0,105.5,1961
GAF,2.5,282.0,105.0,1961
Fairmont Foods,0.8,283.0,104.6,1961
WestPoint Stevens,4.1,284.0,104.5,1961
Colorado Milling & Elevator,1.1,285.0,104.1,1961
Anchor Hocking,5.5,286.0,103.7,1961
Rohr,3.5,287.0,101.6,1961
Garrett,2.8,288.0,101.2,1961
Blaw-Knox,4.1,289.0,101.1,1961
Diamond International,5.6,290.0,100.8,1961
Schlitz Brewing,N.A.,291.0,100.0,1961
Textron,1.3,292.0,99.7,1961
Lion Oil,11.1,293.0,98.6,1961
Sharon Steel,3.1,294.0,98.2,1961
Pacific Vegetable Oil,N.A.,295.0,97.9,1961
GK Technologies,5.2,296.0,97.4,1961
Liebmann Breweries,N.A.,297.0,96.0,1961
Ward Foods,1.5,298.0,95.2,1961
St. Joseph Lead,7.5,299.0,95.0,1961
Flintkote,5.1,300.0,94.8,1961
Interstate Brands,3.2,301.0,94.2,1961
Imcera Group,6.0,302.0,93.6,1961
Maxus Energy,5.5,303.0,93.5,1961
Chemetron,5.2,304.0,93.4,1961
York International,2.9,305.0,93.3,1961
Kendall,4.2,306.0,93.2,1961
Squibb,3.4,307.0,93.0,1961
Stewart-Warner,2.8,308.0,92.9,1961
Case,-0.5,309.0,92.4,1961
Ex-Cell-O,8.8,310.0,92.3,1961
Du Mont (Allen B.) Labs.,0.9,311.0,91.9,1961
U.S. Pipe & Foundry,9.0,312.0,91.5,1961
Fibreboard,5.5,313.0,91.5,1961
Clark Equipment,5.7,314.0,91.1,1961
Plymouth Oil,6.8,315.0,90.9,1961
Collins Radio,3.4,316.0,90.3,1961
Sunbeam/Oster,6.9,317.0,90.1,1961
Inmont,3.3,318.0,89.8,1961
Amsted Industries,3.6,319.0,89.0,1961
Abbott Laboratories,8.7,320.0,88.1,1961
Yale & Towne Manufacturing,1.8,321.0,87.9,1961
Servel,-8.2,322.0,87.8,1961
Long-Bell Lumber Co.,3.7,323.0,87.7,1961
Motor Products,-1.1,324.0,87.0,1961
ITT Rayonier,11.9,325.0,86.9,1961
Best Foods,5.6,326.0,86.9,1961
Gaylord Container,7.0,327.0,86.5,1961
Virginia-Carolina Chemical,3.6,328.0,85.4,1961
Beaunit,4.5,329.0,85.3,1961
Pepperell Manufacturing,2.4,330.0,85.3,1961
Amerada Hess,19.8,331.0,85.0,1961
Texasgulf,30.5,332.0,84.6,1961
Lone Star Industries,12.6,333.0,84.4,1961
Royal McBee,2.8,334.0,84.4,1961
Eagle-Picher Industries,2.4,335.0,83.2,1961
Wm. Wrigley Jr.,11.4,336.0,82.6,1961
Stauffer Chemical,5.7,337.0,82.6,1961
Wagner Electric,1.9,338.0,82.2,1961
Marshall-Wells,1.5,339.0,81.9,1961
Dan River,2.8,340.0,81.8,1961
Keystone Consolidated Industries,5.7,341.0,81.1,1961
Maytag,6.7,342.0,81.1,1961
City Products,3.5,343.0,80.8,1961
Thomas J. Lipton,3.1,344.0,80.8,1961
Emerson Radio & Phonograph,1.9,345.0,80.6,1961
Cluett Peabody,3.0,346.0,80.4,1961
Hazel-Atlas Glass,3.6,347.0,79.2,1961
Gerber Products,3.5,348.0,78.9,1961
Great Western Sugar,4.4,349.0,78.5,1961
Tobin Packing,1.0,350.0,78.5,1961
Beech Aircraft,3.4,351.0,78.0,1961
ESB,7.8,352.0,77.7,1961
Minneapolis-Moline,N.A.,353.0,77.4,1961
Rockwell Manufacturing,5.7,354.0,76.5,1961
Ruberoid,4.6,355.0,76.4,1961
Paccar,2.4,356.0,76.4,1961
Butler Manufacturing,3.3,357.0,76.2,1961
Superior Oil,10.4,358.0,76.1,1961
Olivetti Underwood,1.2,359.0,76.0,1961
Certainteed,5.3,360.0,75.8,1961
National Container,3.5,361.0,75.6,1961
Lukens Steel,2.0,362.0,75.0,1961
American Bosch Arma,2.6,363.0,74.4,1961
PepsiCo,6.2,364.0,74.2,1961
Stanley Works,3.9,365.0,73.8,1961
New York Shipbuilding,2.4,366.0,73.8,1961
Glen Alden,0.2,367.0,73.5,1961
Outboard Marine,5.5,368.0,73.4,1961
Hines (Edward) Lumber,3.7,369.0,73.3,1961
Shoe Corp. of America,2.3,370.0,73.2,1961
Standard Coil Products,2.9,371.0,72.9,1961
Norris-Thermador,2.9,372.0,72.6,1961
American Chain & Cable,3.5,373.0,72.2,1961
Carborundum,3.3,374.0,71.9,1961
Interlake,3.7,375.0,71.8,1961
Riegel Textile,1.3,376.0,71.0,1961
Todd Shipyards,0.3,377.0,70.4,1961
Cleveland-Cliffs,7.1,378.0,70.4,1961
Minnesota & Ontario Paper,6.1,379.0,70.1,1961
McGraw-Hill,5.9,380.0,70.0,1961
Pocahontas Fuel,1.7,381.0,69.5,1961
Granite City Steel,4.0,382.0,69.3,1961
Remington Arms,7.5,383.0,69.0,1961
Bigelow-Sanford,0.1,384.0,68.2,1961
H.K. Porter,3.2,385.0,68.1,1961
Bliss (E.W.),3.3,386.0,68.0,1961
Falstaff Brewing,3.0,387.0,67.8,1961
I-T-E Imperial,1.6,388.0,67.7,1961
Canada Dry,2.4,389.0,67.4,1961
American Optical,2.2,390.0,67.3,1961
American Agricultural Chemical,4.6,391.0,67.2,1961
Brown Co.,3.4,392.0,67.0,1961
Raybestos-Manhattan,2.8,393.0,66.8,1961
Norton Simon,1.6,394.0,66.7,1961
Hartmarx,1.2,395.0,66.6,1961
Savannah Sugar Refining,1.6,396.0,66.6,1961
Bucyrus-Erie,4.5,397.0,66.0,1961
Industrial Rayon,7.4,398.0,65.9,1961
Handy & Harman,0.6,399.0,65.8,1961
AM International,4.9,400.0,65.4,1961
Richardson-Vicks,5.9,401.0,65.4,1961
US Pharmaceuticals,9.3,402.0,65.4,1961
Interlake Iron,3.1,403.0,65.2,1961
Solar Aircraft,2.0,404.0,65.1,1961
Tennessee Corp.,6.5,405.0,64.9,1961
Crowell-Collier Publishing,-2.4,406.0,64.8,1961
"American Zinc, Lead & Smelting",1.8,407.0,64.5,1961
Georgia-Pacific,1.8,408.0,64.3,1961
International Silver,3.2,409.0,64.1,1961
Niles-Bement-Pond,4.3,410.0,63.6,1961
Stromberg-Carlson,2.0,411.0,63.5,1961
Houdaille Industries,1.2,412.0,63.1,1961
Magnavox,2.1,413.0,63.0,1961
Joy Technologies,3.6,414.0,62.8,1961
Joslyn Manufacturing & Supply,2.3,415.0,62.7,1961
Kroehler Manufacturing,2.3,416.0,62.7,1961
Joy Global,2.6,417.0,62.5,1961
Daystrom,1.5,418.0,62.5,1961
Bristol-Myers Squibb,3.6,419.0,62.4,1961
Celotex,3.2,420.0,62.3,1961
Lees (James) & Sons,2.8,421.0,62.2,1961
Calumet & Hecia,2.2,422.0,61.4,1961
Burrus Mills,1.2,423.0,61.0,1961
Bibb Manufacturing,1.1,424.0,60.8,1961
U.S. Industries,1.6,425.0,60.6,1961
Cuban Atlantic Sugar,2.7,426.0,60.5,1961
Dole,1.9,427.0,60.1,1961
Elgin National Watch,1.6,428.0,60.1,1961
Lehigh Portland Cement,8.0,429.0,59.7,1961
American Enka,5.0,430.0,59.7,1961
Ekco Products,4.6,431.0,59.7,1961
LTV,2.9,432.0,59.2,1961
Clevite,2.7,433.0,59.2,1961
Cummins,2.9,434.0,59.2,1961
Ideal Basic Industries,11.1,435.0,59.0,1961
Robertshaw Controls,3.7,436.0,58.2,1961
American Forest Products,1.6,437.0,58.2,1961
Pennwalt Corp,3.4,438.0,58.1,1961
United Engineering & Foundry,3.4,439.0,58.1,1961
Atlas Powder,2.6,440.0,57.6,1961
Harbison-Walker Refractories,4.5,441.0,57.5,1961
Lily-Tulip Cup,4.7,442.0,57.4,1961
Freeport Sulphur,10.1,443.0,57.3,1961
Gould-National Batteries,2.7,444.0,57.2,1961
Mohasco,0.8,445.0,57.0,1961
Times Mirror,1.9,446.0,56.7,1961
National Automotive Fibers,-0.5,447.0,56.7,1961
Stanley Home Products,3.1,448.0,56.6,1961
Continental Foundry & Machine,3.5,449.0,56.6,1961
Dayco,1.2,450.0,55.9,1961
Square D,4.7,451.0,55.9,1961
Publicker Industries,2.3,452.0,55.5,1961
Armstrong Rubber,1.7,453.0,55.4,1961
Godchaux Sugars,0.5,454.0,55.3,1961
Avon Products,4.9,455.0,55.1,1961
Carey (Philip) Manufacturing,2.5,456.0,54.8,1961
Anderson-Prichard Oil,3.3,457.0,54.7,1961
Midland-Ross,2.7,458.0,54.6,1961
P.R. Mallory,1.1,459.0,54.6,1961
Consolidated Papers,4.5,460.0,54.4,1961
Oxford Paper,3.4,461.0,54.2,1961
Lear,2.2,462.0,54.2,1961
Cutler-Hammer,4.1,463.0,54.2,1961
Sutherland Paper,3.9,464.0,54.0,1961
Gilfillan Bros.,N.A.,465.0,54.0,1961
USM,8.0,466.0,53.9,1961
Bates Manufacturing,1.8,467.0,53.9,1961
Motor Wheel,1.7,468.0,53.9,1961
Reeves Brothers,1.1,469.0,53.9,1961
Congoleum,1.7,470.0,53.8,1961
Harshaw Chemical,1.6,471.0,53.6,1961
Young (L.A.) Spring & Wire,1.3,472.0,53.5,1961
Barium Steel,-0.4,473.0,53.5,1961
Arvin Industries,2.2,474.0,53.4,1961
Climax Molybdenum,15.6,475.0,53.2,1961
Erwin Mills,-0.9,476.0,53.1,1961
S & W Fine Foods,0.5,477.0,53.1,1961
Columbian Carbon,4.6,478.0,52.9,1961
South Penn Oil,5.1,479.0,52.6,1961
National Homes,2.4,480.0,52.5,1961
Crown Central,1.4,481.0,52.4,1961
Udylite,0.8,482.0,51.9,1961
Bird & Son,1.6,483.0,51.7,1961
Detroit Steel,1.2,484.0,51.7,1961
Mullins Manufacturing,2.3,485.0,51.7,1961
Commercial Solvents,2.7,486.0,51.6,1961
Fuller Brush,2.3,487.0,51.5,1961
Liquid Carbonic,2.8,488.0,51.4,1961
Consolidated Cigar,1.8,489.0,51.0,1961
Langendorf United Bakeries,0.9,490.0,50.7,1961
Truax-Traer Coal,2.5,491.0,50.5,1961
Mansfield Tire & Rubber,0.9,492.0,50.4,1961
Blue Bell,1.7,493.0,50.3,1961
Warner-Lambert,4.3,494.0,50.3,1961
Trane,3.4,495.0,50.2,1961
Signal Oil Gas,9.3,496.0,50.2,1961
Bullard,4.8,497.0,50.2,1961
Cuban-American Sugar,0.7,498.0,50.1,1961
Goodall-Sanford,-2.7,499.0,49.7,1961
Copperweld Steel,0.9,500.0,49.7,1961
General Motors,1189.5,1.0,12443.3,1962
Exxon Mobil,709.3,2.0,6272.4,1962
Ford Motor,437.0,3.0,5594.0,1962
U.S. Steel,370.1,4.0,4097.7,1962
Chrysler,100.1,5.0,3466.2,1962
General Electric,200.9,6.0,3095.4,1962
Esmark,22.9,7.0,2404.1,1962
Bethlehem Steel,180.2,8.0,2096.6,1962
Armour,10.1,9.0,1967.7,1962
DuPont,431.6,10.0,1909.2,1962
Gulf Oil,218.1,11.0,1895.7,1962
AT&T Technologies,63.3,12.0,1853.3,1962
Mobil,207.4,13.0,1839.3,1962
Amoco,157.1,14.0,1781.3,1962
Texaco,262.7,15.0,1767.3,1962
Shell Oil,125.5,16.0,1484.1,1962
CBS,42.8,17.0,1441.0,1962
Goodyear Tire & Rubber,59.7,18.0,1372.2,1962
ChevronTexaco,231.1,19.0,1277.8,1962
Kraft,40.3,20.0,1260.2,1962
Republic Steel,86.3,21.0,1188.6,1962
Union Carbide,140.8,22.0,1187.2,1962
Navistar International,55.5,23.0,1165.8,1962
Firestone Tire & Rubber,55.4,24.0,1114.9,1962
Sinclair Oil,80.7,25.0,1110.1,1962
RCA,47.5,26.0,1055.3,1962
Procter & Gamble,57.5,27.0,965.8,1962
Uniroyal,33.6,28.0,925.5,1962
Citgo Petroleum,49.3,29.0,923.2,1962
ConocoPhillips,95.2,30.0,910.8,1962
Douglas Aircraft,28.2,31.0,867.5,1962
Boeing,30.4,32.0,853.8,1962
Alcoa,87.6,33.0,845.0,1962
General Foods,31.7,34.0,824.8,1962
Rockwell Automation,32.3,35.0,816.7,1962
Borden Chemical,21.7,36.0,810.1,1962
International Paper,83.1,37.0,796.4,1962
Goodrich,46.7,38.0,755.0,1962
American Can,36.0,39.0,714.8,1962
Eastman Kodak,85.6,40.0,714.4,1962
United Technologies,31.1,41.0,697.9,1962
Jones & Laughlin Steel,50.1,42.0,696.5,1962
ARMCO,64.4,43.0,692.7,1962
Sperry,44.0,44.0,688.0,1962
General Dynamics,21.3,45.0,687.3,1962
Lockheed Martin,17.3,46.0,673.6,1962
Continental Group,24.2,47.0,666.3,1962
Sunoco,48.3,48.0,660.3,1962
AMAX,19.8,49.0,660.2,1962
Ryerson Tull,52.5,50.0,659.7,1962
Wilson,4.6,51.0,650.5,1962
Anaconda,65.3,52.0,636.2,1962
Honeywell Intl.,52.1,53.0,628.5,1962
National Intergroup,48.3,54.0,622.0,1962
Youngstown Sheet & Tube,41.7,55.0,617.4,1962
Fortune Brands,51.7,56.0,585.9,1962
PPG Industries,61.4,57.0,582.0,1962
Bendix,25.9,58.0,567.2,1962
Intl. Business Machines,55.9,59.0,563.5,1962
Olin,44.6,60.0,560.5,1962
BorgWarner,41.1,61.0,552.2,1962
Kennecott,125.5,62.0,548.3,1962
Republic Aviation,14.7,63.0,547.4,1962
Asarco,33.5,64.0,540.5,1962
Allis-Chalmers,24.8,65.0,535.1,1962
NL Industries,47.9,66.0,533.7,1962
Conoco,46.4,67.0,528.9,1962
Caterpillar,34.8,68.0,523.9,1962
Monsanto,42.2,69.0,522.3,1962
Burlington Industries Equity,16.4,70.0,515.2,1962
General Mills,12.4,71.0,513.7,1962
Atlantic Richfield,39.5,72.0,513.0,1962
Curtiss-Wright,35.1,73.0,508.7,1962
Pure Oil,35.2,74.0,485.1,1962
Studebaker,-29.7,75.0,480.0,1962
Tidewater Oil,37.8,76.0,478.8,1962
Dow Chemical,37.4,77.0,470.7,1962
Nabisco Group Holdings,53.3,78.0,466.3,1962
American Cyanamid,38.7,79.0,451.1,1962
ITT Industries,23.1,80.0,448.4,1962
American Motors,-7.0,81.0,441.1,1962
Sealed Air,18.8,82.0,427.1,1962
Crown Zellerbach,44.1,83.0,414.1,1962
Standard Brands,10.6,84.0,400.7,1962
Nabisco Brands,18.3,85.0,389.6,1962
Foremost Dairies,8.7,86.0,388.1,1962
Ralston Purina,12.6,87.0,385.5,1962
Reynolds Metals,34.3,88.0,384.9,1962
Campbell Soup,29.1,89.0,377.6,1962
Philco,8.4,90.0,373.4,1962
Owens-Illinois,27.0,91.0,370.3,1962
Merritt-Chapman & Scott,10.7,92.0,360.3,1962
Unocal,30.5,93.0,359.5,1962
Singer,18.1,94.0,354.1,1962
Phelps Dodge,72.3,95.0,353.4,1962
United Merchants & Mfrs.,15.5,96.0,341.8,1962
Pillsbury,5.3,97.0,341.1,1962
BP America,23.0,98.0,339.7,1962
American Standard,22.6,99.0,339.6,1962
Deere,28.3,100.0,339.6,1962
Hormel Foods,3.8,101.0,336.6,1962
Morrell (John),2.7,102.0,336.1,1962
Hygrade Food Products,2.3,103.0,334.3,1962
Crane,9.0,104.0,331.4,1962
Pullman,9.6,105.0,330.4,1962
Carnation,8.1,106.0,329.2,1962
